"행정구역별(시군구)","성별","경제활동별","항목","단위","2015 년",
"전국","여자","일하지않았음","80~84세","","495963",
"전국","여자","일하지않았음","85세 이상","","381837",
"동부","계","계","60세 이상-계","","6794815",
"동부","계","계","60~64세","","2157413",
"동부","계","계","65~69세","","1605816",
"동부","계","계","70~74세","","1265541",
"동부","계","계","75~79세","","908684",
"동부","계","계","80~84세","","520007",
"동부","계","계","85세 이상","","337354",
"동부","계","일하였음","60세 이상-계","","1834821",
"동부","계","일하였음","60~64세","","1026057",
"동부","계","일하였음","65~69세","","483456",
"동부","계","일하였음","70~74세","","216861",
"동부","계","일하였음","75~79세","","83027",
"동부","계","일하였음","80~84세","","20913",
"동부","계","일하였음","85세 이상","","4507",
"동부","계","일하지않았음","60세 이상-계","","4959994",
"동부","계","일하지않았음","60~64세","","1131356",
"동부","계","일하지않았음","65~69세","","1122360",
"동부","계","일하지않았음","70~74세","","1048680",
"동부","계","일하지않았음","75~79세","","825657",
"동부","계","일하지않았음","80~84세","","499094",
"동부","계","일하지않았음","85세 이상","","332847",
"동부","남자","계","60세 이상-계","","3027880",
"동부","남자","계","60~64세","","1047997",
"동부","남자","계","65~69세","","766943",
"동부","남자","계","70~74세","","575448",
"동부","남자","계","75~79세","","374270",
"동부","남자","계","80~84세","","178269",
"동부","남자","계","85세 이상","","84953",
"동부","남자","일하였음","60세 이상-계","","1228833",
"동부","남자","일하였음","60~64세","","681293",
"동부","남자","일하였음","65~69세","","337806",
"동부","남자","일하였음","70~74세","","144912",
"동부","남자","일하였음","75~79세","","50605",
"동부","남자","일하였음","80~84세","","11902",
"동부","남자","일하였음","85세 이상","","2315",
"동부","남자","일하지않았음","60세 이상-계","","1799047",
"동부","남자","일하지않았음","60~64세","","366704",
"동부","남자","일하지않았음","65~69세","","429137",
"동부","남자","일하지않았음","70~74세","","430536",
"동부","남자","일하지않았음","75~79세","","323665",
"동부","남자","일하지않았음","80~84세","","166367",
"동부","남자","일하지않았음","85세 이상","","82638",
"동부","여자","계","60세 이상-계","","3766935",
"동부","여자","계","60~64세","","1109416",
"동부","여자","계","65~69세","","838873",
"동부","여자","계","70~74세","","690093",
"동부","여자","계","75~79세","","534414",
"동부","여자","계","80~84세","","341738",
"동부","여자","계","85세 이상","","252401",
"동부","여자","일하였음","60세 이상-계","","605988",
"동부","여자","일하였음","60~64세","","344764",
"동부","여자","일하였음","65~69세","","145650",
"동부","여자","일하였음","70~74세","","71949",
"동부","여자","일하였음","75~79세","","32422",
"동부","여자","일하였음","80~84세","","9011",
"동부","여자","일하였음","85세 이상","","2192",
"동부","여자","일하지않았음","60세 이상-계","","3160947",
"동부","여자","일하지않았음","60~64세","","764652",
"동부","여자","일하지않았음","65~69세","","693223",
"동부","여자","일하지않았음","70~74세","","618144",
"동부","여자","일하지않았음","75~79세","","501992",
"동부","여자","일하지않았음","80~84세","","332727",
"동부","여자","일하지않았음","85세 이상","","250209",
"읍부","계","계","60세 이상-계","","901333",
"읍부","계","계","60~64세","","242327",
"읍부","계","계","65~69세","","193980",
"읍부","계","계","70~74세","","173093",
"읍부","계","계","75~79세","","144446",
"읍부","계","계","80~84세","","89641",
"읍부","계","계","85세 이상","","57846",
"읍부","계","일하였음","60세 이상-계","","340723",
"읍부","계","일하였음","60~64세","","141795",
"읍부","계","일하였음","65~69세","","89488",
"읍부","계","일하였음","70~74세","","58858",
"읍부","계","일하였음","75~79세","","35880",
"읍부","계","일하였음","80~84세","","12064",
"읍부","계","일하였음","85세 이상","","2638",
"읍부","계","일하지않았음","60세 이상-계","","560610",
"읍부","계","일하지않았음","60~64세","","100532",
"읍부","계","일하지않았음","65~69세","","104492",
"읍부","계","일하지않았음","70~74세","","114235",
"읍부","계","일하지않았음","75~79세","","108566",
"읍부","계","일하지않았음","80~84세","","77577",
"읍부","계","일하지않았음","85세 이상","","55208",
"읍부","남자","계","60세 이상-계","","385343",
"읍부","남자","계","60~64세","","118295",
"읍부","남자","계","65~69세","","91555",
"읍부","남자","계","70~74세","","75166",
"읍부","남자","계","75~79세","","56720",
"읍부","남자","계","80~84세","","29391",
"읍부","남자","계","85세 이상","","14216",
"읍부","남자","일하였음","60세 이상-계","","194613",
"읍부","남자","일하였음","60~64세","","83650",
"읍부","남자","일하였음","65~69세","","52269",
"읍부","남자","일하였음","70~74세","","32403",
"읍부","남자","일하였음","75~79세","","19037",
"읍부","남자","일하였음","80~84세","","5995",
"읍부","남자","일하였음","85세 이상","","1259",
"읍부","남자","일하지않았음","60세 이상-계","","190730",
"읍부","남자","일하지않았음","60~64세","","34645",
"읍부","남자","일하지않았음","65~69세","","39286",
"읍부","남자","일하지않았음","70~74세","","42763",
"읍부","남자","일하지않았음","75~79세","","37683",
"읍부","남자","일하지않았음","80~84세","","23396",
"읍부","남자","일하지않았음","85세 이상","","12957",
"읍부","여자","계","60세 이상-계","","515990",
"읍부","여자","계","60~64세","","124032",
"읍부","여자","계","65~69세","","102425",
"읍부","여자","계","70~74세","","97927",
"읍부","여자","계","75~79세","","87726",
"읍부","여자","계","80~84세","","60250",
"읍부","여자","계","85세 이상","","43630",
"읍부","여자","일하였음","60세 이상-계","","146110",
"읍부","여자","일하였음","60~64세","","58145",
"읍부","여자","일하였음","65~69세","","37219",
"읍부","여자","일하였음","70~74세","","26455",
"읍부","여자","일하였음","75~79세","","16843",
"읍부","여자","일하였음","80~84세","","6069",
"읍부","여자","일하였음","85세 이상","","1379",
"읍부","여자","일하지않았음","60세 이상-계","","369880",
"읍부","여자","일하지않았음","60~64세","","65887",
"읍부","여자","일하지않았음","65~69세","","65206",
"읍부","여자","일하지않았음","70~74세","","71472",
"읍부","여자","일하지않았음","75~79세","","70883",
"읍부","여자","일하지않았음","80~84세","","54181",
"읍부","여자","일하지않았음","85세 이상","","42251",
"면부","계","계","60세 이상-계","","1621701",
"면부","계","계","60~64세","","363278",
"면부","계","계","65~69세","","313573",
"면부","계","계","70~74세","","322382",
"면부","계","계","75~79세","","298568",
"면부","계","계","80~84세","","196655",
"면부","계","계","85세 이상","","127245",
"면부","계","일하였음","60세 이상-계","","789041",
"면부","계","일하였음","60~64세","","252941",
"면부","계","일하였음","65~69세","","192791",
"면부","계","일하였음","70~74세","","168505",
"면부","계","일하였음","75~79세","","118422",
"면부","계","일하였음","80~84세","","45696",
"면부","계","일하였음","85세 이상","","10686",
"면부","계","일하지않았음","60세 이상-계","","832660",
"면부","계","일하지않았음","60~64세","","110337",
"면부","계","일하지않았음","65~69세","","120782",
"면부","계","일하지않았음","70~74세","","153877",
"면부","계","일하지않았음","75~79세","","180146",
"면부","계","일하지않았음","80~84세","","150959",
"면부","계","일하지않았음","85세 이상","","116559",
"면부","남자","계","60세 이상-계","","691713",
"면부","남자","계","60~64세","","182784",
"면부","남자","계","65~69세","","153885",
"면부","남자","계","70~74세","","140194",
"면부","남자","계","75~79세","","116927",
"면부","남자","계","80~84세","","65470",
"면부","남자","계","85세 이상","","32453",
"면부","남자","일하였음","60세 이상-계","","423759",
"면부","남자","일하였음","60~64세","","140665",
"면부","남자","일하였음","65~69세","","106489",
"면부","남자","일하였음","70~74세","","86653",
"면부","남자","일하였음","75~79세","","61115",
"면부","남자","일하였음","80~84세","","23566",
"면부","남자","일하였음","85세 이상","","5271",
"면부","남자","일하지않았음","60세 이상-계","","267954",
"면부","남자","일하지않았음","60~64세","","42119",
"면부","남자","일하지않았음","65~69세","","47396",
"면부","남자","일하지않았음","70~74세","","53541",
"면부","남자","일하지않았음","75~79세","","55812",
"면부","남자","일하지않았음","80~84세","","41904",
"면부","남자","일하지않았음","85세 이상","","27182",
"면부","여자","계","60세 이상-계","","929988",
"면부","여자","계","60~64세","","180494",
"면부","여자","계","65~69세","","159688",
"면부","여자","계","70~74세","","182188",
"면부","여자","계","75~79세","","181641",
"면부","여자","계","80~84세","","131185",
"면부","여자","계","85세 이상","","94792",
"면부","여자","일하였음","60세 이상-계","","365282",
"면부","여자","일하였음","60~64세","","112276",
"면부","여자","일하였음","65~69세","","86302",
"면부","여자","일하였음","70~74세","","81852",
"면부","여자","일하였음","75~79세","","57307",
"면부","여자","일하였음","80~84세","","22130",
"면부","여자","일하였음","85세 이상","","5415",
"면부","여자","일하지않았음","60세 이상-계","","564706",
"면부","여자","일하지않았음","60~64세","","68218",
"면부","여자","일하지않았음","65~69세","","73386",
"면부","여자","일하지않았음","70~74세","","100336",
"면부","여자","일하지않았음","75~79세","","124334",
"면부","여자","일하지않았음","80~84세","","109055",
"면부","여자","일하지않았음","85세 이상","","89377",
"서울특별시","계","계","60세 이상-계","","1763427",
"서울특별시","계","계","60~64세","","559428",
"서울특별시","계","계","65~69세","","436226",
"서울특별시","계","계","70~74세","","337875",
"서울특별시","계","계","75~79세","","226498",
"서울특별시","계","계","80~84세","","122141",
"서울특별시","계","계","85세 이상","","81259",
"서울특별시","계","일하였음","60세 이상-계","","487166",
"서울특별시","계","일하였음","60~64세","","267933",
"서울특별시","계","일하였음","65~69세","","133824",
"서울특별시","계","일하였음","70~74세","","59437",
"서울특별시","계","일하였음","75~79세","","20190",
"서울특별시","계","일하였음","80~84세","","4624",
"서울특별시","계","일하였음","85세 이상","","1158",
"서울특별시","계","일하지않았음","60세 이상-계","","1276261",
"서울특별시","계","일하지않았음","60~64세","","291495",
"서울특별시","계","일하지않았음","65~69세","","302402",
"서울특별시","계","일하지않았음","70~74세","","278438",
"서울특별시","계","일하지않았음","75~79세","","206308",
"서울특별시","계","일하지않았음","80~84세","","117517",
"서울특별시","계","일하지않았음","85세 이상","","80101",
"서울특별시","남자","계","60세 이상-계","","797006",
"서울특별시","남자","계","60~64세","","265372",
"서울특별시","남자","계","65~69세","","206517",
"서울특별시","남자","계","70~74세","","159257",
"서울특별시","남자","계","75~79세","","99101",
"서울특별시","남자","계","80~84세","","44686",
"서울특별시","남자","계","85세 이상","","22073",
"서울특별시","남자","일하였음","60세 이상-계","","332233",
"서울특별시","남자","일하였음","60~64세","","176879",
"서울특별시","남자","일하였음","65~69세","","95587",
"서울특별시","남자","일하였음","70~74세","","42371",
"서울특별시","남자","일하였음","75~79세","","13719",
"서울특별시","남자","일하였음","80~84세","","2949",
"서울특별시","남자","일하였음","85세 이상","","728",
"서울특별시","남자","일하지않았음","60세 이상-계","","464773",
"서울특별시","남자","일하지않았음","60~64세","","88493",
"서울특별시","남자","일하지않았음","65~69세","","110930",
"서울특별시","남자","일하지않았음","70~74세","","116886",
"서울특별시","남자","일하지않았음","75~79세","","85382",
"서울특별시","남자","일하지않았음","80~84세","","41737",
"서울특별시","남자","일하지않았음","85세 이상","","21345",
"서울특별시","여자","계","60세 이상-계","","966421",
"서울특별시","여자","계","60~64세","","294056",
"서울특별시","여자","계","65~69세","","229709",
"서울특별시","여자","계","70~74세","","178618",
"서울특별시","여자","계","75~79세","","127397",
"서울특별시","여자","계","80~84세","","77455",
"서울특별시","여자","계","85세 이상","","59186",
"서울특별시","여자","일하였음","60세 이상-계","","154933",
"서울특별시","여자","일하였음","60~64세","","91054",
"서울특별시","여자","일하였음","65~69세","","38237",
"서울특별시","여자","일하였음","70~74세","","17066",
"서울특별시","여자","일하였음","75~79세","","6471",
"서울특별시","여자","일하였음","80~84세","","1675",
"서울특별시","여자","일하였음","85세 이상","","430",
"서울특별시","여자","일하지않았음","60세 이상-계","","811488",
"서울특별시","여자","일하지않았음","60~64세","","203002",
"서울특별시","여자","일하지않았음","65~69세","","191472",
"서울특별시","여자","일하지않았음","70~74세","","161552",
"서울특별시","여자","일하지않았음","75~79세","","120926",
"서울특별시","여자","일하지않았음","80~84세","","75780",
"서울특별시","여자","일하지않았음","85세 이상","","58756",
"종로구","계","계","60세 이상-계","","31302",
"종로구","계","계","60~64세","","8822",
"종로구","계","계","65~69세","","7170",
"종로구","계","계","70~74세","","6383",
"종로구","계","계","75~79세","","4575",
"종로구","계","계","80~84세","","2532",
"종로구","계","계","85세 이상","","1820",
"종로구","계","일하였음","60세 이상-계","","9137",
"종로구","계","일하였음","60~64세","","4687",
"종로구","계","일하였음","65~69세","","2315",
"종로구","계","일하였음","70~74세","","1346",
"종로구","계","일하였음","75~79세","","525",
"종로구","계","일하였음","80~84세","","207",
"종로구","계","일하였음","85세 이상","","57",
"종로구","계","일하지않았음","60세 이상-계","","22165",
"종로구","계","일하지않았음","60~64세","","4135",
"종로구","계","일하지않았음","65~69세","","4855",
"종로구","계","일하지않았음","70~74세","","5037",
"종로구","계","일하지않았음","75~79세","","4050",
"종로구","계","일하지않았음","80~84세","","2325",
"종로구","계","일하지않았음","85세 이상","","1763",
"종로구","남자","계","60세 이상-계","","13950",
"종로구","남자","계","60~64세","","4302",
"종로구","남자","계","65~69세","","3279",
"종로구","남자","계","70~74세","","2882",
"종로구","남자","계","75~79세","","1948",
"종로구","남자","계","80~84세","","964",
"종로구","남자","계","85세 이상","","575",
"종로구","남자","일하였음","60세 이상-계","","5718",
"종로구","남자","일하였음","60~64세","","2955",
"종로구","남자","일하였음","65~69세","","1441",
"종로구","남자","일하였음","70~74세","","830",
"종로구","남자","일하였음","75~79세","","328",
"종로구","남자","일하였음","80~84세","","120",
"종로구","남자","일하였음","85세 이상","","44",
"종로구","남자","일하지않았음","60세 이상-계","","8232",
"종로구","남자","일하지않았음","60~64세","","1347",
"종로구","남자","일하지않았음","65~69세","","1838",
"종로구","남자","일하지않았음","70~74세","","2052",
"종로구","남자","일하지않았음","75~79세","","1620",
"종로구","남자","일하지않았음","80~84세","","844",
"종로구","남자","일하지않았음","85세 이상","","531",
"종로구","여자","계","60세 이상-계","","17352",
"종로구","여자","계","60~64세","","4520",
"종로구","여자","계","65~69세","","3891",
"종로구","여자","계","70~74세","","3501",
"종로구","여자","계","75~79세","","2627",
"종로구","여자","계","80~84세","","1568",
"종로구","여자","계","85세 이상","","1245",
"종로구","여자","일하였음","60세 이상-계","","3419",
"종로구","여자","일하였음","60~64세","","1732",
"종로구","여자","일하였음","65~69세","","874",
"종로구","여자","일하였음","70~74세","","516",
"종로구","여자","일하였음","75~79세","","197",
"종로구","여자","일하였음","80~84세","","87",
"종로구","여자","일하였음","85세 이상","","13",
"종로구","여자","일하지않았음","60세 이상-계","","13933",
"종로구","여자","일하지않았음","60~64세","","2788",
"종로구","여자","일하지않았음","65~69세","","3017",
"종로구","여자","일하지않았음","70~74세","","2985",
"종로구","여자","일하지않았음","75~79세","","2430",
"종로구","여자","일하지않았음","80~84세","","1481",
"종로구","여자","일하지않았음","85세 이상","","1232",
"중구","계","계","60세 이상-계","","25793",
"중구","계","계","60~64세","","7608",
"중구","계","계","65~69세","","6069",
"중구","계","계","70~74세","","5045",
"중구","계","계","75~79세","","3635",
"중구","계","계","80~84세","","2012",
"중구","계","계","85세 이상","","1424",
"중구","계","일하였음","60세 이상-계","","7186",
"중구","계","일하였음","60~64세","","3776",
"중구","계","일하였음","65~69세","","1869",
"중구","계","일하였음","70~74세","","957",
"중구","계","일하였음","75~79세","","415",
"중구","계","일하였음","80~84세","","119",
"중구","계","일하였음","85세 이상","","50",
"중구","계","일하지않았음","60세 이상-계","","18607",
"중구","계","일하지않았음","60~64세","","3832",
"중구","계","일하지않았음","65~69세","","4200",
"중구","계","일하지않았음","70~74세","","4088",
"중구","계","일하지않았음","75~79세","","3220",
"중구","계","일하지않았음","80~84세","","1893",
"중구","계","일하지않았음","85세 이상","","1374",
"중구","남자","계","60세 이상-계","","11567",
"중구","남자","계","60~64세","","3701",
"중구","남자","계","65~69세","","2929",
"중구","남자","계","70~74세","","2289",
"중구","남자","계","75~79세","","1558",
"중구","남자","계","80~84세","","670",
"중구","남자","계","85세 이상","","420",
"중구","남자","일하였음","60세 이상-계","","4568",
"중구","남자","일하였음","60~64세","","2320",
"중구","남자","일하였음","65~69세","","1281",
"중구","남자","일하였음","70~74세","","614",
"중구","남자","일하였음","75~79세","","258",
"중구","남자","일하였음","80~84세","","69",
"중구","남자","일하였음","85세 이상","","26",
"중구","남자","일하지않았음","60세 이상-계","","6999",
"중구","남자","일하지않았음","60~64세","","1381",
"중구","남자","일하지않았음","65~69세","","1648",
"중구","남자","일하지않았음","70~74세","","1675",
"중구","남자","일하지않았음","75~79세","","1300",
"중구","남자","일하지않았음","80~84세","","601",
"중구","남자","일하지않았음","85세 이상","","394",
"중구","여자","계","60세 이상-계","","14226",
"중구","여자","계","60~64세","","3907",
"중구","여자","계","65~69세","","3140",
"중구","여자","계","70~74세","","2756",
"중구","여자","계","75~79세","","2077",
"중구","여자","계","80~84세","","1342",
"중구","여자","계","85세 이상","","1004",
"중구","여자","일하였음","60세 이상-계","","2618",
"중구","여자","일하였음","60~64세","","1456",
"중구","여자","일하였음","65~69세","","588",
"중구","여자","일하였음","70~74세","","343",
"중구","여자","일하였음","75~79세","","157",
"중구","여자","일하였음","80~84세","","50",
"중구","여자","일하였음","85세 이상","","24",
"중구","여자","일하지않았음","60세 이상-계","","11608",
"중구","여자","일하지않았음","60~64세","","2451",
"중구","여자","일하지않았음","65~69세","","2552",
"중구","여자","일하지않았음","70~74세","","2413",
"중구","여자","일하지않았음","75~79세","","1920",
"중구","여자","일하지않았음","80~84세","","1292",
"중구","여자","일하지않았음","85세 이상","","980",
"용산구","계","계","60세 이상-계","","43800",
"용산구","계","계","60~64세","","12363",
"용산구","계","계","65~69세","","10123",
"용산구","계","계","70~74세","","8661",
"용산구","계","계","75~79세","","6609",
"용산구","계","계","80~84세","","3629",
"용산구","계","계","85세 이상","","2415",
"용산구","계","일하였음","60세 이상-계","","11816",
"용산구","계","일하였음","60~64세","","5887",
"용산구","계","일하였음","65~69세","","3143",
"용산구","계","일하였음","70~74세","","1765",
"용산구","계","일하였음","75~79세","","668",
"용산구","계","일하였음","80~84세","","269",
"용산구","계","일하였음","85세 이상","","84",
"용산구","계","일하지않았음","60세 이상-계","","31984",
"용산구","계","일하지않았음","60~64세","","6476",
"용산구","계","일하지않았음","65~69세","","6980",
"용산구","계","일하지않았음","70~74세","","6896",
"용산구","계","일하지않았음","75~79세","","5941",
"용산구","계","일하지않았음","80~84세","","3360",
"용산구","계","일하지않았음","85세 이상","","2331",
"용산구","남자","계","60세 이상-계","","19192",
"용산구","남자","계","60~64세","","5811",
"용산구","남자","계","65~69세","","4645",
"용산구","남자","계","70~74세","","3913",
"용산구","남자","계","75~79세","","2694",
"용산구","남자","계","80~84세","","1397",
"용산구","남자","계","85세 이상","","732",
"용산구","남자","일하였음","60세 이상-계","","7723",
"용산구","남자","일하였음","60~64세","","3727",
"용산구","남자","일하였음","65~69세","","2139",
"용산구","남자","일하였음","70~74세","","1176",
"용산구","남자","일하였음","75~79세","","457",
"용산구","남자","일하였음","80~84세","","180",
"용산구","남자","일하였음","85세 이상","","44",
"용산구","남자","일하지않았음","60세 이상-계","","11469",
"용산구","남자","일하지않았음","60~64세","","2084",
"용산구","남자","일하지않았음","65~69세","","2506",
"용산구","남자","일하지않았음","70~74세","","2737",
"용산구","남자","일하지않았음","75~79세","","2237",
"용산구","남자","일하지않았음","80~84세","","1217",
"용산구","남자","일하지않았음","85세 이상","","688",
"용산구","여자","계","60세 이상-계","","24608",
"용산구","여자","계","60~64세","","6552",
"용산구","여자","계","65~69세","","5478",
"용산구","여자","계","70~74세","","4748",
"용산구","여자","계","75~79세","","3915",
"용산구","여자","계","80~84세","","2232",
"용산구","여자","계","85세 이상","","1683",
"용산구","여자","일하였음","60세 이상-계","","4093",
"용산구","여자","일하였음","60~64세","","2160",
"용산구","여자","일하였음","65~69세","","1004",
"용산구","여자","일하였음","70~74세","","589",
"용산구","여자","일하였음","75~79세","","211",
"용산구","여자","일하였음","80~84세","","89",
"용산구","여자","일하였음","85세 이상","","40",
"용산구","여자","일하지않았음","60세 이상-계","","20515",
"용산구","여자","일하지않았음","60~64세","","4392",
"용산구","여자","일하지않았음","65~69세","","4474",
"용산구","여자","일하지않았음","70~74세","","4159",
"용산구","여자","일하지않았음","75~79세","","3704",
"용산구","여자","일하지않았음","80~84세","","2143",
"용산구","여자","일하지않았음","85세 이상","","1643",
"성동구","계","계","60세 이상-계","","52137",
"성동구","계","계","60~64세","","15848",
"성동구","계","계","65~69세","","12586",
"성동구","계","계","70~74세","","10328",
"성동구","계","계","75~79세","","7149",
"성동구","계","계","80~84세","","3793",
"성동구","계","계","85세 이상","","2433",
"성동구","계","일하였음","60세 이상-계","","14463",
"성동구","계","일하였음","60~64세","","7713",
"성동구","계","일하였음","65~69세","","3825",
"성동구","계","일하였음","70~74세","","1911",
"성동구","계","일하였음","75~79세","","797",
"성동구","계","일하였음","80~84세","","164",
"성동구","계","일하였음","85세 이상","","53",
"성동구","계","일하지않았음","60세 이상-계","","37674",
"성동구","계","일하지않았음","60~64세","","8135",
"성동구","계","일하지않았음","65~69세","","8761",
"성동구","계","일하지않았음","70~74세","","8417",
"성동구","계","일하지않았음","75~79세","","6352",
"성동구","계","일하지않았음","80~84세","","3629",
"성동구","계","일하지않았음","85세 이상","","2380",
"성동구","남자","계","60세 이상-계","","23283",
"성동구","남자","계","60~64세","","7595",
"성동구","남자","계","65~69세","","5893",
"성동구","남자","계","70~74세","","4693",
"성동구","남자","계","75~79세","","3017",
"성동구","남자","계","80~84세","","1421",
"성동구","남자","계","85세 이상","","664",
"성동구","남자","일하였음","60세 이상-계","","9593",
"성동구","남자","일하였음","60~64세","","5091",
"성동구","남자","일하였음","65~69세","","2652",
"성동구","남자","일하였음","70~74세","","1267",
"성동구","남자","일하였음","75~79세","","472",
"성동구","남자","일하였음","80~84세","","77",
"성동구","남자","일하였음","85세 이상","","34",
"성동구","남자","일하지않았음","60세 이상-계","","13690",
"성동구","남자","일하지않았음","60~64세","","2504",
"성동구","남자","일하지않았음","65~69세","","3241",
"성동구","남자","일하지않았음","70~74세","","3426",
"성동구","남자","일하지않았음","75~79세","","2545",
"성동구","남자","일하지않았음","80~84세","","1344",
"성동구","남자","일하지않았음","85세 이상","","630",
"성동구","여자","계","60세 이상-계","","28854",
"성동구","여자","계","60~64세","","8253",
"성동구","여자","계","65~69세","","6693",
"성동구","여자","계","70~74세","","5635",
"성동구","여자","계","75~79세","","4132",
"성동구","여자","계","80~84세","","2372",
"성동구","여자","계","85세 이상","","1769",
"성동구","여자","일하였음","60세 이상-계","","4870",
"성동구","여자","일하였음","60~64세","","2622",
"성동구","여자","일하였음","65~69세","","1173",
"성동구","여자","일하였음","70~74세","","644",
"성동구","여자","일하였음","75~79세","","325",
"성동구","여자","일하였음","80~84세","","87",
"성동구","여자","일하였음","85세 이상","","19",
"성동구","여자","일하지않았음","60세 이상-계","","23984",
"성동구","여자","일하지않았음","60~64세","","5631",
"성동구","여자","일하지않았음","65~69세","","5520",
"성동구","여자","일하지않았음","70~74세","","4991",
"성동구","여자","일하지않았음","75~79세","","3807",
"성동구","여자","일하지않았음","80~84세","","2285",
"성동구","여자","일하지않았음","85세 이상","","1750",
"광진구","계","계","60세 이상-계","","57598",
"광진구","계","계","60~64세","","19026",
"광진구","계","계","65~69세","","14105",
"광진구","계","계","70~74세","","10868",
"광진구","계","계","75~79세","","7303",
"광진구","계","계","80~84세","","3781",
"광진구","계","계","85세 이상","","2515",
"광진구","계","일하였음","60세 이상-계","","16312",
"광진구","계","일하였음","60~64세","","9237",
"광진구","계","일하였음","65~69세","","4311",
"광진구","계","일하였음","70~74세","","1955",
"광진구","계","일하였음","75~79세","","600",
"광진구","계","일하였음","80~84세","","177",
"광진구","계","일하였음","85세 이상","","32",
"광진구","계","일하지않았음","60세 이상-계","","41286",
"광진구","계","일하지않았음","60~64세","","9789",
"광진구","계","일하지않았음","65~69세","","9794",
"광진구","계","일하지않았음","70~74세","","8913",
"광진구","계","일하지않았음","75~79세","","6703",
"광진구","계","일하지않았음","80~84세","","3604",
"광진구","계","일하지않았음","85세 이상","","2483",
"광진구","남자","계","60세 이상-계","","26573",
"광진구","남자","계","60~64세","","9203",
"광진구","남자","계","65~69세","","6695",
"광진구","남자","계","70~74세","","5262",
"광진구","남자","계","75~79세","","3306",
"광진구","남자","계","80~84세","","1391",
"광진구","남자","계","85세 이상","","716",
"광진구","남자","일하였음","60세 이상-계","","11270",
"광진구","남자","일하였음","60~64세","","6141",
"광진구","남자","일하였음","65~69세","","3142",
"광진구","남자","일하였음","70~74세","","1392",
"광진구","남자","일하였음","75~79세","","427",
"광진구","남자","일하였음","80~84세","","136",
"광진구","남자","일하였음","85세 이상","","32",
"광진구","남자","일하지않았음","60세 이상-계","","15303",
"광진구","남자","일하지않았음","60~64세","","3062",
"광진구","남자","일하지않았음","65~69세","","3553",
"광진구","남자","일하지않았음","70~74세","","3870",
"광진구","남자","일하지않았음","75~79세","","2879",
"광진구","남자","일하지않았음","80~84세","","1255",
"광진구","남자","일하지않았음","85세 이상","","684",
"광진구","여자","계","60세 이상-계","","31025",
"광진구","여자","계","60~64세","","9823",
"광진구","여자","계","65~69세","","7410",
"광진구","여자","계","70~74세","","5606",
"광진구","여자","계","75~79세","","3997",
"광진구","여자","계","80~84세","","2390",
"광진구","여자","계","85세 이상","","1799",
