"행정구역별","성별","경제활동상태별","항목","단위","2015 년",
"전국","남자","일하였음","지적·자폐성 장애","","19817",
"전국","남자","일하였음","정신적 질환 등 정신적제약","","24265",
"전국","남자","일하지 않았음","15세 이상 인구-계","","6760362",
"전국","남자","일하지 않았음","제약없음-계","","5777353",
"전국","남자","일하지 않았음","제약있음-계","","983009",
"전국","남자","일하지 않았음","시각장애","","75383",
"전국","남자","일하지 않았음","청각장애","","126029",
"전국","남자","일하지 않았음","언어장애","","69245",
"전국","남자","일하지 않았음","치매","","68944",
"전국","남자","일하지 않았음","뇌졸중(중풍)","","133950",
"전국","남자","일하지 않았음","걷기, 계단 오르기, 들고 운반하기","","618338",
"전국","남자","일하지 않았음","지적·자폐성 장애","","85379",
"전국","남자","일하지 않았음","정신적 질환 등 정신적제약","","125590",
"전국","여자","계","15세 이상 인구-계","","21706975",
"전국","여자","계","제약없음-계","","19708647",
"전국","여자","계","제약있음-계","","1998328",
"전국","여자","계","시각장애","","122048",
"전국","여자","계","청각장애","","212973",
"전국","여자","계","언어장애","","81981",
"전국","여자","계","치매","","191473",
"전국","여자","계","뇌졸중(중풍)","","148157",
"전국","여자","계","걷기, 계단 오르기, 들고 운반하기","","1552680",
"전국","여자","계","지적·자폐성 장애","","71777",
"전국","여자","계","정신적 질환 등 정신적제약","","163312",
"전국","여자","일하였음","15세 이상 인구-계","","9825854",
"전국","여자","일하였음","제약없음-계","","9537367",
"전국","여자","일하였음","제약있음-계","","288487",
"전국","여자","일하였음","시각장애","","19759",
"전국","여자","일하였음","청각장애","","25887",
"전국","여자","일하였음","언어장애","","6014",
"전국","여자","일하였음","치매","","2572",
"전국","여자","일하였음","뇌졸중(중풍)","","7085",
"전국","여자","일하였음","걷기, 계단 오르기, 들고 운반하기","","226252",
"전국","여자","일하였음","지적·자폐성 장애","","8935",
"전국","여자","일하였음","정신적 질환 등 정신적제약","","17027",
"전국","여자","일하지 않았음","15세 이상 인구-계","","11881121",
"전국","여자","일하지 않았음","제약없음-계","","10171280",
"전국","여자","일하지 않았음","제약있음-계","","1709841",
"전국","여자","일하지 않았음","시각장애","","102289",
"전국","여자","일하지 않았음","청각장애","","187086",
"전국","여자","일하지 않았음","언어장애","","75967",
"전국","여자","일하지 않았음","치매","","188901",
"전국","여자","일하지 않았음","뇌졸중(중풍)","","141072",
"전국","여자","일하지 않았음","걷기, 계단 오르기, 들고 운반하기","","1326428",
"전국","여자","일하지 않았음","지적·자폐성 장애","","62842",
"전국","여자","일하지 않았음","정신적 질환 등 정신적제약","","146285",
"동부","계","계","15세 이상 인구-계","","34609430",
"동부","계","계","제약없음-계","","32222449",
"동부","계","계","제약있음-계","","2386981",
"동부","계","계","시각장애","","184464",
"동부","계","계","청각장애","","281341",
"동부","계","계","언어장애","","112976",
"동부","계","계","치매","","183031",
"동부","계","계","뇌졸중(중풍)","","221072",
"동부","계","계","걷기, 계단 오르기, 들고 운반하기","","1698312",
"동부","계","계","지적·자폐성 장애","","115762",
"동부","계","계","정신적 질환 등 정신적제약","","223321",
"동부","계","일하였음","15세 이상 인구-계","","19190834",
"동부","계","일하였음","제약없음-계","","18766564",
"동부","계","일하였음","제약있음-계","","424270",
"동부","계","일하였음","시각장애","","48868",
"동부","계","일하였음","청각장애","","55671",
"동부","계","일하였음","언어장애","","11963",
"동부","계","일하였음","치매","","3376",
"동부","계","일하였음","뇌졸중(중풍)","","19814",
"동부","계","일하였음","걷기, 계단 오르기, 들고 운반하기","","275128",
"동부","계","일하였음","지적·자폐성 장애","","18814",
"동부","계","일하였음","정신적 질환 등 정신적제약","","29241",
"동부","계","일하지 않았음","15세 이상 인구-계","","15418596",
"동부","계","일하지 않았음","제약없음-계","","13455885",
"동부","계","일하지 않았음","제약있음-계","","1962711",
"동부","계","일하지 않았음","시각장애","","135596",
"동부","계","일하지 않았음","청각장애","","225670",
"동부","계","일하지 않았음","언어장애","","101013",
"동부","계","일하지 않았음","치매","","179655",
"동부","계","일하지 않았음","뇌졸중(중풍)","","201258",
"동부","계","일하지 않았음","걷기, 계단 오르기, 들고 운반하기","","1423184",
"동부","계","일하지 않았음","지적·자폐성 장애","","96948",
"동부","계","일하지 않았음","정신적 질환 등 정신적제약","","194080",
"동부","남자","계","15세 이상 인구-계","","16870711",
"동부","남자","계","제약없음-계","","15892241",
"동부","남자","계","제약있음-계","","978470",
"동부","남자","계","시각장애","","93871",
"동부","남자","계","청각장애","","134384",
"동부","남자","계","언어장애","","57354",
"동부","남자","계","치매","","50082",
"동부","남자","계","뇌졸중(중풍)","","114536",
"동부","남자","계","걷기, 계단 오르기, 들고 운반하기","","606982",
"동부","남자","계","지적·자폐성 장애","","69547",
"동부","남자","계","정신적 질환 등 정신적제약","","105736",
"동부","남자","일하였음","15세 이상 인구-계","","11285631",
"동부","남자","일하였음","제약없음-계","","11033351",
"동부","남자","일하였음","제약있음-계","","252280",
"동부","남자","일하였음","시각장애","","34979",
"동부","남자","일하였음","청각장애","","39951",
"동부","남자","일하였음","언어장애","","8598",
"동부","남자","일하였음","치매","","1764",
"동부","남자","일하였음","뇌졸중(중풍)","","15143",
"동부","남자","일하였음","걷기, 계단 오르기, 들고 운반하기","","146070",
"동부","남자","일하였음","지적·자폐성 장애","","13107",
"동부","남자","일하였음","정신적 질환 등 정신적제약","","17028",
"동부","남자","일하지 않았음","15세 이상 인구-계","","5585080",
"동부","남자","일하지 않았음","제약없음-계","","4858890",
"동부","남자","일하지 않았음","제약있음-계","","726190",
"동부","남자","일하지 않았음","시각장애","","58892",
"동부","남자","일하지 않았음","청각장애","","94433",
"동부","남자","일하지 않았음","언어장애","","48756",
"동부","남자","일하지 않았음","치매","","48318",
"동부","남자","일하지 않았음","뇌졸중(중풍)","","99393",
"동부","남자","일하지 않았음","걷기, 계단 오르기, 들고 운반하기","","460912",
"동부","남자","일하지 않았음","지적·자폐성 장애","","56440",
"동부","남자","일하지 않았음","정신적 질환 등 정신적제약","","88708",
"동부","여자","계","15세 이상 인구-계","","17738719",
"동부","여자","계","제약없음-계","","16330208",
"동부","여자","계","제약있음-계","","1408511",
"동부","여자","계","시각장애","","90593",
"동부","여자","계","청각장애","","146957",
"동부","여자","계","언어장애","","55622",
"동부","여자","계","치매","","132949",
"동부","여자","계","뇌졸중(중풍)","","106536",
"동부","여자","계","걷기, 계단 오르기, 들고 운반하기","","1091330",
"동부","여자","계","지적·자폐성 장애","","46215",
"동부","여자","계","정신적 질환 등 정신적제약","","117585",
"동부","여자","일하였음","15세 이상 인구-계","","7905203",
"동부","여자","일하였음","제약없음-계","","7733213",
"동부","여자","일하였음","제약있음-계","","171990",
"동부","여자","일하였음","시각장애","","13889",
"동부","여자","일하였음","청각장애","","15720",
"동부","여자","일하였음","언어장애","","3365",
"동부","여자","일하였음","치매","","1612",
"동부","여자","일하였음","뇌졸중(중풍)","","4671",
"동부","여자","일하였음","걷기, 계단 오르기, 들고 운반하기","","129058",
"동부","여자","일하였음","지적·자폐성 장애","","5707",
"동부","여자","일하였음","정신적 질환 등 정신적제약","","12213",
"동부","여자","일하지 않았음","15세 이상 인구-계","","9833516",
"동부","여자","일하지 않았음","제약없음-계","","8596995",
"동부","여자","일하지 않았음","제약있음-계","","1236521",
"동부","여자","일하지 않았음","시각장애","","76704",
"동부","여자","일하지 않았음","청각장애","","131237",
"동부","여자","일하지 않았음","언어장애","","52257",
"동부","여자","일하지 않았음","치매","","131337",
"동부","여자","일하지 않았음","뇌졸중(중풍)","","101865",
"동부","여자","일하지 않았음","걷기, 계단 오르기, 들고 운반하기","","962272",
"동부","여자","일하지 않았음","지적·자폐성 장애","","40508",
"동부","여자","일하지 않았음","정신적 질환 등 정신적제약","","105372",
"읍부","계","계","15세 이상 인구-계","","3747517",
"읍부","계","계","제약없음-계","","3402695",
"읍부","계","계","제약있음-계","","344822",
"읍부","계","계","시각장애","","23401",
"읍부","계","계","청각장애","","41128",
"읍부","계","계","언어장애","","17888",
"읍부","계","계","치매","","28696",
"읍부","계","계","뇌졸중(중풍)","","31372",
"읍부","계","계","걷기, 계단 오르기, 들고 운반하기","","247224",
"읍부","계","계","지적·자폐성 장애","","19855",
"읍부","계","계","정신적 질환 등 정신적제약","","30967",
"읍부","계","일하였음","15세 이상 인구-계","","2185330",
"읍부","계","일하였음","제약없음-계","","2110588",
"읍부","계","일하였음","제약있음-계","","74742",
"읍부","계","일하였음","시각장애","","6466",
"읍부","계","일하였음","청각장애","","9467",
"읍부","계","일하였음","언어장애","","2382",
"읍부","계","일하였음","치매","","564",
"읍부","계","일하였음","뇌졸중(중풍)","","3033",
"읍부","계","일하였음","걷기, 계단 오르기, 들고 운반하기","","53505",
"읍부","계","일하였음","지적·자폐성 장애","","3241",
"읍부","계","일하였음","정신적 질환 등 정신적제약","","4277",
"읍부","계","일하지 않았음","15세 이상 인구-계","","1562187",
"읍부","계","일하지 않았음","제약없음-계","","1292107",
"읍부","계","일하지 않았음","제약있음-계","","270080",
"읍부","계","일하지 않았음","시각장애","","16935",
"읍부","계","일하지 않았음","청각장애","","31661",
"읍부","계","일하지 않았음","언어장애","","15506",
"읍부","계","일하지 않았음","치매","","28132",
"읍부","계","일하지 않았음","뇌졸중(중풍)","","28339",
"읍부","계","일하지 않았음","걷기, 계단 오르기, 들고 운반하기","","193719",
"읍부","계","일하지 않았음","지적·자폐성 장애","","16614",
"읍부","계","일하지 않았음","정신적 질환 등 정신적제약","","26690",
"읍부","남자","계","15세 이상 인구-계","","1865858",
"읍부","남자","계","제약없음-계","","1729537",
"읍부","남자","계","제약있음-계","","136321",
"읍부","남자","계","시각장애","","10969",
"읍부","남자","계","청각장애","","18661",
"읍부","남자","계","언어장애","","8774",
"읍부","남자","계","치매","","7592",
"읍부","남자","계","뇌졸중(중풍)","","15749",
"읍부","남자","계","걷기, 계단 오르기, 들고 운반하기","","84951",
"읍부","남자","계","지적·자폐성 장애","","11436",
"읍부","남자","계","정신적 질환 등 정신적제약","","14428",
"읍부","남자","일하였음","15세 이상 인구-계","","1308155",
"읍부","남자","일하였음","제약없음-계","","1267903",
"읍부","남자","일하였음","제약있음-계","","40252",
"읍부","남자","일하였음","시각장애","","4224",
"읍부","남자","일하였음","청각장애","","6547",
"읍부","남자","일하였음","언어장애","","1642",
"읍부","남자","일하였음","치매","","285",
"읍부","남자","일하였음","뇌졸중(중풍)","","2267",
"읍부","남자","일하였음","걷기, 계단 오르기, 들고 운반하기","","25379",
"읍부","남자","일하였음","지적·자폐성 장애","","2218",
"읍부","남자","일하였음","정신적 질환 등 정신적제약","","2543",
"읍부","남자","일하지 않았음","15세 이상 인구-계","","557703",
"읍부","남자","일하지 않았음","제약없음-계","","461634",
"읍부","남자","일하지 않았음","제약있음-계","","96069",
"읍부","남자","일하지 않았음","시각장애","","6745",
"읍부","남자","일하지 않았음","청각장애","","12114",
"읍부","남자","일하지 않았음","언어장애","","7132",
"읍부","남자","일하지 않았음","치매","","7307",
"읍부","남자","일하지 않았음","뇌졸중(중풍)","","13482",
"읍부","남자","일하지 않았음","걷기, 계단 오르기, 들고 운반하기","","59572",
"읍부","남자","일하지 않았음","지적·자폐성 장애","","9218",
"읍부","남자","일하지 않았음","정신적 질환 등 정신적제약","","11885",
"읍부","여자","계","15세 이상 인구-계","","1881659",
"읍부","여자","계","제약없음-계","","1673158",
"읍부","여자","계","제약있음-계","","208501",
"읍부","여자","계","시각장애","","12432",
"읍부","여자","계","청각장애","","22467",
"읍부","여자","계","언어장애","","9114",
"읍부","여자","계","치매","","21104",
"읍부","여자","계","뇌졸중(중풍)","","15623",
"읍부","여자","계","걷기, 계단 오르기, 들고 운반하기","","162273",
"읍부","여자","계","지적·자폐성 장애","","8419",
"읍부","여자","계","정신적 질환 등 정신적제약","","16539",
"읍부","여자","일하였음","15세 이상 인구-계","","877175",
"읍부","여자","일하였음","제약없음-계","","842685",
"읍부","여자","일하였음","제약있음-계","","34490",
"읍부","여자","일하였음","시각장애","","2242",
"읍부","여자","일하였음","청각장애","","2920",
"읍부","여자","일하였음","언어장애","","740",
"읍부","여자","일하였음","치매","","279",
"읍부","여자","일하였음","뇌졸중(중풍)","","766",
"읍부","여자","일하였음","걷기, 계단 오르기, 들고 운반하기","","28126",
"읍부","여자","일하였음","지적·자폐성 장애","","1023",
"읍부","여자","일하였음","정신적 질환 등 정신적제약","","1734",
"읍부","여자","일하지 않았음","15세 이상 인구-계","","1004484",
"읍부","여자","일하지 않았음","제약없음-계","","830473",
"읍부","여자","일하지 않았음","제약있음-계","","174011",
"읍부","여자","일하지 않았음","시각장애","","10190",
"읍부","여자","일하지 않았음","청각장애","","19547",
"읍부","여자","일하지 않았음","언어장애","","8374",
"읍부","여자","일하지 않았음","치매","","20825",
"읍부","여자","일하지 않았음","뇌졸중(중풍)","","14857",
"읍부","여자","일하지 않았음","걷기, 계단 오르기, 들고 운반하기","","134147",
"읍부","여자","일하지 않았음","지적·자폐성 장애","","7396",
"읍부","여자","일하지 않았음","정신적 질환 등 정신적제약","","14805",
"면부","계","계","15세 이상 인구-계","","4154558",
"면부","계","계","제약없음-계","","3534280",
"면부","계","계","제약있음-계","","620278",
"면부","계","계","시각장애","","35050",
"면부","계","계","청각장애","","75576",
"면부","계","계","언어장애","","34428",
"면부","계","계","치매","","51360",
"면부","계","계","뇌졸중(중풍)","","50651",
"면부","계","계","걷기, 계단 오르기, 들고 운반하기","","448751",
"면부","계","계","지적·자폐성 장애","","41356",
"면부","계","계","정신적 질환 등 정신적제약","","58879",
"면부","계","일하였음","15세 이상 인구-계","","2493858",
"면부","계","일하였음","제약없음-계","","2333639",
"면부","계","일하였음","제약있음-계","","160219",
"면부","계","일하였음","시각장애","","9909",
"면부","계","일하였음","청각장애","","19792",
"면부","계","일하였음","언어장애","","5735",
"면부","계","일하였음","치매","","1302",
"면부","계","일하였음","뇌졸중(중풍)","","5226",
"면부","계","일하였음","걷기, 계단 오르기, 들고 운반하기","","120888",
"면부","계","일하였음","지적·자폐성 장애","","6697",
"면부","계","일하였음","정신적 질환 등 정신적제약","","7774",
"면부","계","일하지 않았음","15세 이상 인구-계","","1660700",
"면부","계","일하지 않았음","제약없음-계","","1200641",
"면부","계","일하지 않았음","제약있음-계","","460059",
"면부","계","일하지 않았음","시각장애","","25141",
"면부","계","일하지 않았음","청각장애","","55784",
"면부","계","일하지 않았음","언어장애","","28693",
"면부","계","일하지 않았음","치매","","50058",
"면부","계","일하지 않았음","뇌졸중(중풍)","","45425",
"면부","계","일하지 않았음","걷기, 계단 오르기, 들고 운반하기","","327863",
"면부","계","일하지 않았음","지적·자폐성 장애","","34659",
"면부","계","일하지 않았음","정신적 질환 등 정신적제약","","51105",
"면부","남자","계","15세 이상 인구-계","","2067961",
"면부","남자","계","제약없음-계","","1828999",
"면부","남자","계","제약있음-계","","238962",
"면부","남자","계","시각장애","","16027",
"면부","남자","계","청각장애","","32027",
"면부","남자","계","언어장애","","17183",
"면부","남자","계","치매","","13940",
"면부","남자","계","뇌졸중(중풍)","","24653",
"면부","남자","계","걷기, 계단 오르기, 들고 운반하기","","149674",
"면부","남자","계","지적·자폐성 장애","","24213",
"면부","남자","계","정신적 질환 등 정신적제약","","29691",
"면부","남자","일하였음","15세 이상 인구-계","","1450382",
"면부","남자","일하였음","제약없음-계","","1372170",
"면부","남자","일하였음","제약있음-계","","78212",
"면부","남자","일하였음","시각장애","","6281",
"면부","남자","일하였음","청각장애","","12545",
"면부","남자","일하였음","언어장애","","3826",
"면부","남자","일하였음","치매","","621",
"면부","남자","일하였음","뇌졸중(중풍)","","3578",
"면부","남자","일하였음","걷기, 계단 오르기, 들고 운반하기","","51820",
"면부","남자","일하였음","지적·자폐성 장애","","4492",
"면부","남자","일하였음","정신적 질환 등 정신적제약","","4694",
"면부","남자","일하지 않았음","15세 이상 인구-계","","617579",
"면부","남자","일하지 않았음","제약없음-계","","456829",
"면부","남자","일하지 않았음","제약있음-계","","160750",
"면부","남자","일하지 않았음","시각장애","","9746",
"면부","남자","일하지 않았음","청각장애","","19482",
"면부","남자","일하지 않았음","언어장애","","13357",
"면부","남자","일하지 않았음","치매","","13319",
"면부","남자","일하지 않았음","뇌졸중(중풍)","","21075",
"면부","남자","일하지 않았음","걷기, 계단 오르기, 들고 운반하기","","97854",
"면부","남자","일하지 않았음","지적·자폐성 장애","","19721",
"면부","남자","일하지 않았음","정신적 질환 등 정신적제약","","24997",
"면부","여자","계","15세 이상 인구-계","","2086597",
"면부","여자","계","제약없음-계","","1705281",
"면부","여자","계","제약있음-계","","381316",
"면부","여자","계","시각장애","","19023",
"면부","여자","계","청각장애","","43549",
"면부","여자","계","언어장애","","17245",
"면부","여자","계","치매","","37420",
"면부","여자","계","뇌졸중(중풍)","","25998",
"면부","여자","계","걷기, 계단 오르기, 들고 운반하기","","299077",
"면부","여자","계","지적·자폐성 장애","","17143",
"면부","여자","계","정신적 질환 등 정신적제약","","29188",
"면부","여자","일하였음","15세 이상 인구-계","","1043476",
"면부","여자","일하였음","제약없음-계","","961469",
"면부","여자","일하였음","제약있음-계","","82007",
"면부","여자","일하였음","시각장애","","3628",
"면부","여자","일하였음","청각장애","","7247",
"면부","여자","일하였음","언어장애","","1909",
"면부","여자","일하였음","치매","","681",
"면부","여자","일하였음","뇌졸중(중풍)","","1648",
"면부","여자","일하였음","걷기, 계단 오르기, 들고 운반하기","","69068",
"면부","여자","일하였음","지적·자폐성 장애","","2205",
"면부","여자","일하였음","정신적 질환 등 정신적제약","","3080",
"면부","여자","일하지 않았음","15세 이상 인구-계","","1043121",
"면부","여자","일하지 않았음","제약없음-계","","743812",
"면부","여자","일하지 않았음","제약있음-계","","299309",
"면부","여자","일하지 않았음","시각장애","","15395",
"면부","여자","일하지 않았음","청각장애","","36302",
"면부","여자","일하지 않았음","언어장애","","15336",
"면부","여자","일하지 않았음","치매","","36739",
"면부","여자","일하지 않았음","뇌졸중(중풍)","","24350",
"면부","여자","일하지 않았음","걷기, 계단 오르기, 들고 운반하기","","230009",
"면부","여자","일하지 않았음","지적·자폐성 장애","","14938",
"면부","여자","일하지 않았음","정신적 질환 등 정신적제약","","26108",
"서울특별시","계","계","15세 이상 인구-계","","8360174",
"서울특별시","계","계","제약없음-계","","7822304",
"서울특별시","계","계","제약있음-계","","537870",
"서울특별시","계","계","시각장애","","43139",
"서울특별시","계","계","청각장애","","66240",
"서울특별시","계","계","언어장애","","23294",
"서울특별시","계","계","치매","","41042",
"서울특별시","계","계","뇌졸중(중풍)","","48698",
"서울특별시","계","계","걷기, 계단 오르기, 들고 운반하기","","382249",
"서울특별시","계","계","지적·자폐성 장애","","23776",
"서울특별시","계","계","정신적 질환 등 정신적제약","","48686",
"서울특별시","계","일하였음","15세 이상 인구-계","","4704568",
"서울특별시","계","일하였음","제약없음-계","","4602399",
"서울특별시","계","일하였음","제약있음-계","","102169",
"서울특별시","계","일하였음","시각장애","","12254",
"서울특별시","계","일하였음","청각장애","","13354",
"서울특별시","계","일하였음","언어장애","","2440",
"서울특별시","계","일하였음","치매","","948",
"서울특별시","계","일하였음","뇌졸중(중풍)","","4722",
"서울특별시","계","일하였음","걷기, 계단 오르기, 들고 운반하기","","66007",
"서울특별시","계","일하였음","지적·자폐성 장애","","4113",
"서울특별시","계","일하였음","정신적 질환 등 정신적제약","","7496",
"서울특별시","계","일하지 않았음","15세 이상 인구-계","","3655606",
"서울특별시","계","일하지 않았음","제약없음-계","","3219905",
"서울특별시","계","일하지 않았음","제약있음-계","","435701",
"서울특별시","계","일하지 않았음","시각장애","","30885",
"서울특별시","계","일하지 않았음","청각장애","","52886",
"서울특별시","계","일하지 않았음","언어장애","","20854",
"서울특별시","계","일하지 않았음","치매","","40094",
"서울특별시","계","일하지 않았음","뇌졸중(중풍)","","43976",
"서울특별시","계","일하지 않았음","걷기, 계단 오르기, 들고 운반하기","","316242",
"서울특별시","계","일하지 않았음","지적·자폐성 장애","","19663",
"서울특별시","계","일하지 않았음","정신적 질환 등 정신적제약","","41190",
"서울특별시","남자","계","15세 이상 인구-계","","4015572",
"서울특별시","남자","계","제약없음-계","","3793205",
"서울특별시","남자","계","제약있음-계","","222367",
"서울특별시","남자","계","시각장애","","22055",
"서울특별시","남자","계","청각장애","","32528",
"서울특별시","남자","계","언어장애","","12100",
"서울특별시","남자","계","치매","","11866",
"서울특별시","남자","계","뇌졸중(중풍)","","26073",
"서울특별시","남자","계","걷기, 계단 오르기, 들고 운반하기","","136914",
"서울특별시","남자","계","지적·자폐성 장애","","14776",
"서울특별시","남자","계","정신적 질환 등 정신적제약","","23232",
"서울특별시","남자","일하였음","15세 이상 인구-계","","2676084",
"서울특별시","남자","일하였음","제약없음-계","","2616278",
"서울특별시","남자","일하였음","제약있음-계","","59806",
"서울특별시","남자","일하였음","시각장애","","8652",
"서울특별시","남자","일하였음","청각장애","","9645",
"서울특별시","남자","일하였음","언어장애","","1720",
"서울특별시","남자","일하였음","치매","","456",
"서울특별시","남자","일하였음","뇌졸중(중풍)","","3524",
"서울특별시","남자","일하였음","걷기, 계단 오르기, 들고 운반하기","","34518",
"서울특별시","남자","일하였음","지적·자폐성 장애","","2880",
"서울특별시","남자","일하였음","정신적 질환 등 정신적제약","","4305",
"서울특별시","남자","일하지 않았음","15세 이상 인구-계","","1339488",
"서울특별시","남자","일하지 않았음","제약없음-계","","1176927",
"서울특별시","남자","일하지 않았음","제약있음-계","","162561",
"서울특별시","남자","일하지 않았음","시각장애","","13403",
"서울특별시","남자","일하지 않았음","청각장애","","22883",
"서울특별시","남자","일하지 않았음","언어장애","","10380",
"서울특별시","남자","일하지 않았음","치매","","11410",
"서울특별시","남자","일하지 않았음","뇌졸중(중풍)","","22549",
"서울특별시","남자","일하지 않았음","걷기, 계단 오르기, 들고 운반하기","","102396",
"서울특별시","남자","일하지 않았음","지적·자폐성 장애","","11896",
"서울특별시","남자","일하지 않았음","정신적 질환 등 정신적제약","","18927",
"서울특별시","여자","계","15세 이상 인구-계","","4344602",
"서울특별시","여자","계","제약없음-계","","4029099",
"서울특별시","여자","계","제약있음-계","","315503",
"서울특별시","여자","계","시각장애","","21084",
"서울특별시","여자","계","청각장애","","33712",
"서울특별시","여자","계","언어장애","","11194",
"서울특별시","여자","계","치매","","29176",
"서울특별시","여자","계","뇌졸중(중풍)","","22625",
"서울특별시","여자","계","걷기, 계단 오르기, 들고 운반하기","","245335",
"서울특별시","여자","계","지적·자폐성 장애","","9000",
"서울특별시","여자","계","정신적 질환 등 정신적제약","","25454",
"서울특별시","여자","일하였음","15세 이상 인구-계","","2028484",
"서울특별시","여자","일하였음","제약없음-계","","1986121",
"서울특별시","여자","일하였음","제약있음-계","","42363",
"서울특별시","여자","일하였음","시각장애","","3602",
"서울특별시","여자","일하였음","청각장애","","3709",
"서울특별시","여자","일하였음","언어장애","","720",
"서울특별시","여자","일하였음","치매","","492",
"서울특별시","여자","일하였음","뇌졸중(중풍)","","1198",
"서울특별시","여자","일하였음","걷기, 계단 오르기, 들고 운반하기","","31489",
"서울특별시","여자","일하였음","지적·자폐성 장애","","1233",
"서울특별시","여자","일하였음","정신적 질환 등 정신적제약","","3191",
"서울특별시","여자","일하지 않았음","15세 이상 인구-계","","2316118",
"서울특별시","여자","일하지 않았음","제약없음-계","","2042978",
"서울특별시","여자","일하지 않았음","제약있음-계","","273140",
"서울특별시","여자","일하지 않았음","시각장애","","17482",
"서울특별시","여자","일하지 않았음","청각장애","","30003",
"서울특별시","여자","일하지 않았음","언어장애","","10474",
"서울특별시","여자","일하지 않았음","치매","","28684",
"서울특별시","여자","일하지 않았음","뇌졸중(중풍)","","21427",
"서울특별시","여자","일하지 않았음","걷기, 계단 오르기, 들고 운반하기","","213846",
"서울특별시","여자","일하지 않았음","지적·자폐성 장애","","7767",
"서울특별시","여자","일하지 않았음","정신적 질환 등 정신적제약","","22263",
"종로구","계","계","15세 이상 인구-계","","133280",
"종로구","계","계","제약없음-계","","124706",
"종로구","계","계","제약있음-계","","8574",
"종로구","계","계","시각장애","","751",
"종로구","계","계","청각장애","","987",
"종로구","계","계","언어장애","","364",
"종로구","계","계","치매","","720",
"종로구","계","계","뇌졸중(중풍)","","750",
"종로구","계","계","걷기, 계단 오르기, 들고 운반하기","","6180",
"종로구","계","계","지적·자폐성 장애","","315",
"종로구","계","계","정신적 질환 등 정신적제약","","608",
"종로구","계","일하였음","15세 이상 인구-계","","72265",
"종로구","계","일하였음","제약없음-계","","70653",
"종로구","계","일하였음","제약있음-계","","1612",
"종로구","계","일하였음","시각장애","","155",
"종로구","계","일하였음","청각장애","","173",
"종로구","계","일하였음","언어장애","","42",
"종로구","계","일하였음","치매","","17",
"종로구","계","일하였음","뇌졸중(중풍)","","113",
"종로구","계","일하였음","걷기, 계단 오르기, 들고 운반하기","","1074",
"종로구","계","일하였음","지적·자폐성 장애","","48",
"종로구","계","일하였음","정신적 질환 등 정신적제약","","96",
"종로구","계","일하지 않았음","15세 이상 인구-계","","61015",
"종로구","계","일하지 않았음","제약없음-계","","54053",
"종로구","계","일하지 않았음","제약있음-계","","6962",
