"행정구역별(시군구)","성별","교육정도별","항목","단위","2015 년",
"전국","계","대학원박사과정","틈틈이 일하였음","","19336",
"전국","계","대학원박사과정","일시 휴직","","4118",
"전국","계","대학원박사과정","일하지 않았음","","74202",
"전국","계","대학원박사과정","미상","","",
"전국","계","안 받았음(미취학 포함)","15세 이상 인구","","1288849",
"전국","계","안 받았음(미취학 포함)","일하였음-계","","203293",
"전국","계","안 받았음(미취학 포함)","주로 일하였음","","180968",
"전국","계","안 받았음(미취학 포함)","틈틈이 일하였음","","20448",
"전국","계","안 받았음(미취학 포함)","일시 휴직","","1877",
"전국","계","안 받았음(미취학 포함)","일하지 않았음","","1085556",
"전국","계","안 받았음(미취학 포함)","미상","","",
"전국","남자","계","15세 이상 인구","","20804530",
"전국","남자","계","일하였음-계","","14044168",
"전국","남자","계","주로 일하였음","","13491043",
"전국","남자","계","틈틈이 일하였음","","386150",
"전국","남자","계","일시 휴직","","166975",
"전국","남자","계","일하지 않았음","","6760362",
"전국","남자","계","미상","","",
"전국","남자","초등학교","15세 이상 인구","","1206525",
"전국","남자","초등학교","일하였음-계","","576767",
"전국","남자","초등학교","주로 일하였음","","555051",
"전국","남자","초등학교","틈틈이 일하였음","","13766",
"전국","남자","초등학교","일시 휴직","","7950",
"전국","남자","초등학교","일하지 않았음","","629758",
"전국","남자","초등학교","미상","","",
"전국","남자","중학교","15세 이상 인구","","1729553",
"전국","남자","중학교","일하였음-계","","905983",
"전국","남자","중학교","주로 일하였음","","876952",
"전국","남자","중학교","틈틈이 일하였음","","15601",
"전국","남자","중학교","일시 휴직","","13430",
"전국","남자","중학교","일하지 않았음","","823570",
"전국","남자","중학교","미상","","",
"전국","남자","고등학교","15세 이상 인구","","7245616",
"전국","남자","고등학교","일하였음-계","","4782501",
"전국","남자","고등학교","주로 일하였음","","4643324",
"전국","남자","고등학교","틈틈이 일하였음","","77498",
"전국","남자","고등학교","일시 휴직","","61679",
"전국","남자","고등학교","일하지 않았음","","2463115",
"전국","남자","고등학교","미상","","",
"전국","남자","대학(4년제 미만)","15세 이상 인구","","2871377",
"전국","남자","대학(4년제 미만)","일하였음-계","","2234173",
"전국","남자","대학(4년제 미만)","주로 일하였음","","2135812",
"전국","남자","대학(4년제 미만)","틈틈이 일하였음","","70393",
"전국","남자","대학(4년제 미만)","일시 휴직","","27968",
"전국","남자","대학(4년제 미만)","일하지 않았음","","637204",
"전국","남자","대학(4년제 미만)","미상","","",
"전국","남자","대학교(4년제 이상)","15세 이상 인구","","6301080",
"전국","남자","대학교(4년제 이상)","일하였음-계","","4470642",
"전국","남자","대학교(4년제 이상)","주로 일하였음","","4245790",
"전국","남자","대학교(4년제 이상)","틈틈이 일하였음","","178935",
"전국","남자","대학교(4년제 이상)","일시 휴직","","45917",
"전국","남자","대학교(4년제 이상)","일하지 않았음","","1830438",
"전국","남자","대학교(4년제 이상)","미상","","",
"전국","남자","대학원석사과정","15세 이상 인구","","925024",
"전국","남자","대학원석사과정","일하였음-계","","761633",
"전국","남자","대학원석사과정","주로 일하였음","","733773",
"전국","남자","대학원석사과정","틈틈이 일하였음","","20355",
"전국","남자","대학원석사과정","일시 휴직","","7505",
"전국","남자","대학원석사과정","일하지 않았음","","163391",
"전국","남자","대학원석사과정","미상","","",
"전국","남자","대학원박사과정","15세 이상 인구","","305336",
"전국","남자","대학원박사과정","일하였음-계","","261831",
"전국","남자","대학원박사과정","주로 일하였음","","252210",
"전국","남자","대학원박사과정","틈틈이 일하였음","","7674",
"전국","남자","대학원박사과정","일시 휴직","","1947",
"전국","남자","대학원박사과정","일하지 않았음","","43505",
"전국","남자","대학원박사과정","미상","","",
"전국","남자","안 받았음(미취학 포함)","15세 이상 인구","","220019",
"전국","남자","안 받았음(미취학 포함)","일하였음-계","","50638",
"전국","남자","안 받았음(미취학 포함)","주로 일하였음","","48131",
"전국","남자","안 받았음(미취학 포함)","틈틈이 일하였음","","1928",
"전국","남자","안 받았음(미취학 포함)","일시 휴직","","579",
"전국","남자","안 받았음(미취학 포함)","일하지 않았음","","169381",
"전국","남자","안 받았음(미취학 포함)","미상","","",
"전국","여자","계","15세 이상 인구","","21706975",
"전국","여자","계","일하였음-계","","9825854",
"전국","여자","계","주로 일하였음","","8759835",
"전국","여자","계","틈틈이 일하였음","","865425",
"전국","여자","계","일시 휴직","","200594",
"전국","여자","계","일하지 않았음","","11881121",
"전국","여자","계","미상","","",
"전국","여자","초등학교","15세 이상 인구","","2457486",
"전국","여자","초등학교","일하였음-계","","719933",
"전국","여자","초등학교","주로 일하였음","","647024",
"전국","여자","초등학교","틈틈이 일하였음","","66491",
"전국","여자","초등학교","일시 휴직","","6418",
"전국","여자","초등학교","일하지 않았음","","1737553",
"전국","여자","초등학교","미상","","",
"전국","여자","중학교","15세 이상 인구","","2109474",
"전국","여자","중학교","일하였음-계","","757761",
"전국","여자","중학교","주로 일하였음","","696639",
"전국","여자","중학교","틈틈이 일하였음","","53630",
"전국","여자","중학교","일시 휴직","","7492",
"전국","여자","중학교","일하지 않았음","","1351713",
"전국","여자","중학교","미상","","",
"전국","여자","고등학교","15세 이상 인구","","7288667",
"전국","여자","고등학교","일하였음-계","","3318965",
"전국","여자","고등학교","주로 일하였음","","3044431",
"전국","여자","고등학교","틈틈이 일하였음","","229762",
"전국","여자","고등학교","일시 휴직","","44772",
"전국","여자","고등학교","일하지 않았음","","3969702",
"전국","여자","고등학교","미상","","",
"전국","여자","대학(4년제 미만)","15세 이상 인구","","2887799",
"전국","여자","대학(4년제 미만)","일하였음-계","","1647598",
"전국","여자","대학(4년제 미만)","주로 일하였음","","1465714",
"전국","여자","대학(4년제 미만)","틈틈이 일하였음","","143155",
"전국","여자","대학(4년제 미만)","일시 휴직","","38729",
"전국","여자","대학(4년제 미만)","일하지 않았음","","1240201",
"전국","여자","대학(4년제 미만)","미상","","",
"전국","여자","대학교(4년제 이상)","15세 이상 인구","","5084828",
"전국","여자","대학교(4년제 이상)","일하였음-계","","2671313",
"전국","여자","대학교(4년제 이상)","주로 일하였음","","2289110",
"전국","여자","대학교(4년제 이상)","틈틈이 일하였음","","301553",
"전국","여자","대학교(4년제 이상)","일시 휴직","","80650",
"전국","여자","대학교(4년제 이상)","일하지 않았음","","2413515",
"전국","여자","대학교(4년제 이상)","미상","","",
"전국","여자","대학원석사과정","15세 이상 인구","","680380",
"전국","여자","대학원석사과정","일하였음-계","","458815",
"전국","여자","대학원석사과정","주로 일하였음","","399099",
"전국","여자","대학원석사과정","틈틈이 일하였음","","40652",
"전국","여자","대학원석사과정","일시 휴직","","19064",
"전국","여자","대학원석사과정","일하지 않았음","","221565",
"전국","여자","대학원석사과정","미상","","",
"전국","여자","대학원박사과정","15세 이상 인구","","129511",
"전국","여자","대학원박사과정","일하였음-계","","98814",
"전국","여자","대학원박사과정","주로 일하였음","","84981",
"전국","여자","대학원박사과정","틈틈이 일하였음","","11662",
"전국","여자","대학원박사과정","일시 휴직","","2171",
"전국","여자","대학원박사과정","일하지 않았음","","30697",
"전국","여자","대학원박사과정","미상","","",
"전국","여자","안 받았음(미취학 포함)","15세 이상 인구","","1068830",
"전국","여자","안 받았음(미취학 포함)","일하였음-계","","152655",
"전국","여자","안 받았음(미취학 포함)","주로 일하였음","","132837",
"전국","여자","안 받았음(미취학 포함)","틈틈이 일하였음","","18520",
"전국","여자","안 받았음(미취학 포함)","일시 휴직","","1298",
"전국","여자","안 받았음(미취학 포함)","일하지 않았음","","916175",
"전국","여자","안 받았음(미취학 포함)","미상","","",
"동부","계","계","15세 이상 인구","","34609430",
"동부","계","계","일하였음-계","","19190834",
"동부","계","계","주로 일하였음","","17852103",
"동부","계","계","틈틈이 일하였음","","1021395",
"동부","계","계","일시 휴직","","317336",
"동부","계","계","일하지 않았음","","15418596",
"동부","계","계","미상","","",
"동부","계","초등학교","15세 이상 인구","","2409135",
"동부","계","초등학교","일하였음-계","","640167",
"동부","계","초등학교","주로 일하였음","","593307",
"동부","계","초등학교","틈틈이 일하였음","","37753",
"동부","계","초등학교","일시 휴직","","9107",
"동부","계","초등학교","일하지 않았음","","1768968",
"동부","계","초등학교","미상","","",
"동부","계","중학교","15세 이상 인구","","2916519",
"동부","계","중학교","일하였음-계","","1119145",
"동부","계","중학교","주로 일하였음","","1058004",
"동부","계","중학교","틈틈이 일하였음","","44919",
"동부","계","중학교","일시 휴직","","16222",
"동부","계","중학교","일하지 않았음","","1797374",
"동부","계","중학교","미상","","",
"동부","계","고등학교","15세 이상 인구","","11843045",
"동부","계","고등학교","일하였음-계","","6406210",
"동부","계","고등학교","주로 일하였음","","6068706",
"동부","계","고등학교","틈틈이 일하였음","","247458",
"동부","계","고등학교","일시 휴직","","90046",
"동부","계","고등학교","일하지 않았음","","5436835",
"동부","계","고등학교","미상","","",
"동부","계","대학(4년제 미만)","15세 이상 인구","","4840665",
"동부","계","대학(4년제 미만)","일하였음-계","","3242298",
"동부","계","대학(4년제 미만)","주로 일하였음","","3000694",
"동부","계","대학(4년제 미만)","틈틈이 일하였음","","183382",
"동부","계","대학(4년제 미만)","일시 휴직","","58222",
"동부","계","대학(4년제 미만)","일하지 않았음","","1598367",
"동부","계","대학(4년제 미만)","미상","","",
"동부","계","대학교(4년제 이상)","15세 이상 인구","","10054896",
"동부","계","대학교(4년제 이상)","일하였음-계","","6292061",
"동부","계","대학교(4년제 이상)","주로 일하였음","","5749269",
"동부","계","대학교(4년제 이상)","틈틈이 일하였음","","428070",
"동부","계","대학교(4년제 이상)","일시 휴직","","114722",
"동부","계","대학교(4년제 이상)","일하지 않았음","","3762835",
"동부","계","대학교(4년제 이상)","미상","","",
"동부","계","대학원석사과정","15세 이상 인구","","1451169",
"동부","계","대학원석사과정","일하였음-계","","1101533",
"동부","계","대학원석사과정","주로 일하였음","","1021355",
"동부","계","대학원석사과정","틈틈이 일하였음","","55683",
"동부","계","대학원석사과정","일시 휴직","","24495",
"동부","계","대학원석사과정","일하지 않았음","","349636",
"동부","계","대학원석사과정","미상","","",
"동부","계","대학원박사과정","15세 이상 인구","","401301",
"동부","계","대학원박사과정","일하였음-계","","333326",
"동부","계","대학원박사과정","주로 일하였음","","311513",
"동부","계","대학원박사과정","틈틈이 일하였음","","17979",
"동부","계","대학원박사과정","일시 휴직","","3834",
"동부","계","대학원박사과정","일하지 않았음","","67975",
"동부","계","대학원박사과정","미상","","",
"동부","계","안 받았음(미취학 포함)","15세 이상 인구","","692700",
"동부","계","안 받았음(미취학 포함)","일하였음-계","","56094",
"동부","계","안 받았음(미취학 포함)","주로 일하였음","","49255",
"동부","계","안 받았음(미취학 포함)","틈틈이 일하였음","","6151",
"동부","계","안 받았음(미취학 포함)","일시 휴직","","688",
"동부","계","안 받았음(미취학 포함)","일하지 않았음","","636606",
"동부","계","안 받았음(미취학 포함)","미상","","",
"동부","남자","계","15세 이상 인구","","16870711",
"동부","남자","계","일하였음-계","","11285631",
"동부","남자","계","주로 일하였음","","10821897",
"동부","남자","계","틈틈이 일하였음","","322664",
"동부","남자","계","일시 휴직","","141070",
"동부","남자","계","일하지 않았음","","5585080",
"동부","남자","계","미상","","",
"동부","남자","초등학교","15세 이상 인구","","735827",
"동부","남자","초등학교","일하였음-계","","288177",
"동부","남자","초등학교","주로 일하였음","","275978",
"동부","남자","초등학교","틈틈이 일하였음","","7018",
"동부","남자","초등학교","일시 휴직","","5181",
"동부","남자","초등학교","일하지 않았음","","447650",
"동부","남자","초등학교","미상","","",
"동부","남자","중학교","15세 이상 인구","","1267444",
"동부","남자","중학교","일하였음-계","","602767",
"동부","남자","중학교","주로 일하였음","","582003",
"동부","남자","중학교","틈틈이 일하였음","","10388",
"동부","남자","중학교","일시 휴직","","10376",
"동부","남자","중학교","일하지 않았음","","664677",
"동부","남자","중학교","미상","","",
"동부","남자","고등학교","15세 이상 인구","","5762530",
"동부","남자","고등학교","일하였음-계","","3714005",
"동부","남자","고등학교","주로 일하였음","","3600995",
"동부","남자","고등학교","틈틈이 일하였음","","61634",
"동부","남자","고등학교","일시 휴직","","51376",
"동부","남자","고등학교","일하지 않았음","","2048525",
"동부","남자","고등학교","미상","","",
"동부","남자","대학(4년제 미만)","15세 이상 인구","","2370539",
"동부","남자","대학(4년제 미만)","일하였음-계","","1835310",
"동부","남자","대학(4년제 미만)","주로 일하였음","","1751239",
"동부","남자","대학(4년제 미만)","틈틈이 일하였음","","59971",
"동부","남자","대학(4년제 미만)","일시 휴직","","24100",
"동부","남자","대학(4년제 미만)","일하지 않았음","","535229",
"동부","남자","대학(4년제 미만)","미상","","",
"동부","남자","대학교(4년제 이상)","15세 이상 인구","","5511491",
"동부","남자","대학교(4년제 이상)","일하였음-계","","3906024",
"동부","남자","대학교(4년제 이상)","주로 일하였음","","3706959",
"동부","남자","대학교(4년제 이상)","틈틈이 일하였음","","157911",
"동부","남자","대학교(4년제 이상)","일시 휴직","","41154",
"동부","남자","대학교(4년제 이상)","일하지 않았음","","1605467",
"동부","남자","대학교(4년제 이상)","미상","","",
"동부","남자","대학원석사과정","15세 이상 인구","","828061",
"동부","남자","대학원석사과정","일하였음-계","","682415",
"동부","남자","대학원석사과정","주로 일하였음","","657470",
"동부","남자","대학원석사과정","틈틈이 일하였음","","18106",
"동부","남자","대학원석사과정","일시 휴직","","6839",
"동부","남자","대학원석사과정","일하지 않았음","","145646",
"동부","남자","대학원석사과정","미상","","",
"동부","남자","대학원박사과정","15세 이상 인구","","280813",
"동부","남자","대학원박사과정","일하였음-계","","241425",
"동부","남자","대학원박사과정","주로 일하였음","","232649",
"동부","남자","대학원박사과정","틈틈이 일하였음","","6994",
"동부","남자","대학원박사과정","일시 휴직","","1782",
"동부","남자","대학원박사과정","일하지 않았음","","39388",
"동부","남자","대학원박사과정","미상","","",
"동부","남자","안 받았음(미취학 포함)","15세 이상 인구","","114006",
"동부","남자","안 받았음(미취학 포함)","일하였음-계","","15508",
"동부","남자","안 받았음(미취학 포함)","주로 일하였음","","14604",
"동부","남자","안 받았음(미취학 포함)","틈틈이 일하였음","","642",
"동부","남자","안 받았음(미취학 포함)","일시 휴직","","262",
"동부","남자","안 받았음(미취학 포함)","일하지 않았음","","98498",
"동부","남자","안 받았음(미취학 포함)","미상","","",
"동부","여자","계","15세 이상 인구","","17738719",
"동부","여자","계","일하였음-계","","7905203",
"동부","여자","계","주로 일하였음","","7030206",
"동부","여자","계","틈틈이 일하였음","","698731",
"동부","여자","계","일시 휴직","","176266",
"동부","여자","계","일하지 않았음","","9833516",
"동부","여자","계","미상","","",
"동부","여자","초등학교","15세 이상 인구","","1673308",
"동부","여자","초등학교","일하였음-계","","351990",
"동부","여자","초등학교","주로 일하였음","","317329",
"동부","여자","초등학교","틈틈이 일하였음","","30735",
"동부","여자","초등학교","일시 휴직","","3926",
"동부","여자","초등학교","일하지 않았음","","1321318",
"동부","여자","초등학교","미상","","",
"동부","여자","중학교","15세 이상 인구","","1649075",
"동부","여자","중학교","일하였음-계","","516378",
"동부","여자","중학교","주로 일하였음","","476001",
"동부","여자","중학교","틈틈이 일하였음","","34531",
"동부","여자","중학교","일시 휴직","","5846",
"동부","여자","중학교","일하지 않았음","","1132697",
"동부","여자","중학교","미상","","",
"동부","여자","고등학교","15세 이상 인구","","6080515",
"동부","여자","고등학교","일하였음-계","","2692205",
"동부","여자","고등학교","주로 일하였음","","2467711",
"동부","여자","고등학교","틈틈이 일하였음","","185824",
"동부","여자","고등학교","일시 휴직","","38670",
"동부","여자","고등학교","일하지 않았음","","3388310",
"동부","여자","고등학교","미상","","",
"동부","여자","대학(4년제 미만)","15세 이상 인구","","2470126",
"동부","여자","대학(4년제 미만)","일하였음-계","","1406988",
"동부","여자","대학(4년제 미만)","주로 일하였음","","1249455",
"동부","여자","대학(4년제 미만)","틈틈이 일하였음","","123411",
"동부","여자","대학(4년제 미만)","일시 휴직","","34122",
"동부","여자","대학(4년제 미만)","일하지 않았음","","1063138",
"동부","여자","대학(4년제 미만)","미상","","",
"동부","여자","대학교(4년제 이상)","15세 이상 인구","","4543405",
"동부","여자","대학교(4년제 이상)","일하였음-계","","2386037",
"동부","여자","대학교(4년제 이상)","주로 일하였음","","2042310",
"동부","여자","대학교(4년제 이상)","틈틈이 일하였음","","270159",
"동부","여자","대학교(4년제 이상)","일시 휴직","","73568",
"동부","여자","대학교(4년제 이상)","일하지 않았음","","2157368",
"동부","여자","대학교(4년제 이상)","미상","","",
"동부","여자","대학원석사과정","15세 이상 인구","","623108",
"동부","여자","대학원석사과정","일하였음-계","","419118",
"동부","여자","대학원석사과정","주로 일하였음","","363885",
"동부","여자","대학원석사과정","틈틈이 일하였음","","37577",
"동부","여자","대학원석사과정","일시 휴직","","17656",
"동부","여자","대학원석사과정","일하지 않았음","","203990",
"동부","여자","대학원석사과정","미상","","",
"동부","여자","대학원박사과정","15세 이상 인구","","120488",
"동부","여자","대학원박사과정","일하였음-계","","91901",
"동부","여자","대학원박사과정","주로 일하였음","","78864",
"동부","여자","대학원박사과정","틈틈이 일하였음","","10985",
"동부","여자","대학원박사과정","일시 휴직","","2052",
"동부","여자","대학원박사과정","일하지 않았음","","28587",
"동부","여자","대학원박사과정","미상","","",
"동부","여자","안 받았음(미취학 포함)","15세 이상 인구","","578694",
"동부","여자","안 받았음(미취학 포함)","일하였음-계","","40586",
"동부","여자","안 받았음(미취학 포함)","주로 일하였음","","34651",
"동부","여자","안 받았음(미취학 포함)","틈틈이 일하였음","","5509",
"동부","여자","안 받았음(미취학 포함)","일시 휴직","","426",
"동부","여자","안 받았음(미취학 포함)","일하지 않았음","","538108",
"동부","여자","안 받았음(미취학 포함)","미상","","",
"읍부","계","계","15세 이상 인구","","3747517",
"읍부","계","계","일하였음-계","","2185330",
"읍부","계","계","주로 일하였음","","2060366",
"읍부","계","계","틈틈이 일하였음","","98084",
"읍부","계","계","일시 휴직","","26880",
"읍부","계","계","일하지 않았음","","1562187",
"읍부","계","계","미상","","",
"읍부","계","초등학교","15세 이상 인구","","421910",
"읍부","계","초등학교","일하였음-계","","179231",
"읍부","계","초등학교","주로 일하였음","","166434",
"읍부","계","초등학교","틈틈이 일하였음","","11005",
"읍부","계","초등학교","일시 휴직","","1792",
"읍부","계","초등학교","일하지 않았음","","242679",
"읍부","계","초등학교","미상","","",
"읍부","계","중학교","15세 이상 인구","","384821",
"읍부","계","중학교","일하였음-계","","196910",
"읍부","계","중학교","주로 일하였음","","186783",
"읍부","계","중학교","틈틈이 일하였음","","8000",
"읍부","계","중학교","일시 휴직","","2127",
"읍부","계","중학교","일하지 않았음","","187911",
"읍부","계","중학교","미상","","",
"읍부","계","고등학교","15세 이상 인구","","1390212",
"읍부","계","고등학교","일하였음-계","","843685",
"읍부","계","고등학교","주로 일하였음","","806890",
"읍부","계","고등학교","틈틈이 일하였음","","27797",
"읍부","계","고등학교","일시 휴직","","8998",
"읍부","계","고등학교","일하지 않았음","","546527",
"읍부","계","고등학교","미상","","",
"읍부","계","대학(4년제 미만)","15세 이상 인구","","526744",
"읍부","계","대학(4년제 미만)","일하였음-계","","365597",
"읍부","계","대학(4년제 미만)","주로 일하였음","","343805",
"읍부","계","대학(4년제 미만)","틈틈이 일하였음","","16673",
"읍부","계","대학(4년제 미만)","일시 휴직","","5119",
"읍부","계","대학(4년제 미만)","일하지 않았음","","161147",
"읍부","계","대학(4년제 미만)","미상","","",
"읍부","계","대학교(4년제 이상)","15세 이상 인구","","752083",
"읍부","계","대학교(4년제 이상)","일하였음-계","","486948",
"읍부","계","대학교(4년제 이상)","주로 일하였음","","451562",
"읍부","계","대학교(4년제 이상)","틈틈이 일하였음","","28270",
"읍부","계","대학교(4년제 이상)","일시 휴직","","7116",
"읍부","계","대학교(4년제 이상)","일하지 않았음","","265135",
"읍부","계","대학교(4년제 이상)","미상","","",
"읍부","계","대학원석사과정","15세 이상 인구","","84357",
"읍부","계","대학원석사과정","일하였음-계","","66454",
"읍부","계","대학원석사과정","주로 일하였음","","62456",
"읍부","계","대학원석사과정","틈틈이 일하였음","","2713",
"읍부","계","대학원석사과정","일시 휴직","","1285",
"읍부","계","대학원석사과정","일하지 않았음","","17903",
"읍부","계","대학원석사과정","미상","","",
"읍부","계","대학원박사과정","15세 이상 인구","","17373",
"읍부","계","대학원박사과정","일하였음-계","","14372",
"읍부","계","대학원박사과정","주로 일하였음","","13602",
"읍부","계","대학원박사과정","틈틈이 일하였음","","644",
"읍부","계","대학원박사과정","일시 휴직","","126",
"읍부","계","대학원박사과정","일하지 않았음","","3001",
"읍부","계","대학원박사과정","미상","","",
"읍부","계","안 받았음(미취학 포함)","15세 이상 인구","","170017",
"읍부","계","안 받았음(미취학 포함)","일하였음-계","","32133",
"읍부","계","안 받았음(미취학 포함)","주로 일하였음","","28834",
"읍부","계","안 받았음(미취학 포함)","틈틈이 일하였음","","2982",
"읍부","계","안 받았음(미취학 포함)","일시 휴직","","317",
"읍부","계","안 받았음(미취학 포함)","일하지 않았음","","137884",
"읍부","계","안 받았음(미취학 포함)","미상","","",
"읍부","남자","계","15세 이상 인구","","1865858",
"읍부","남자","계","일하였음-계","","1308155",
"읍부","남자","계","주로 일하였음","","1266559",
"읍부","남자","계","틈틈이 일하였음","","28444",
"읍부","남자","계","일시 휴직","","13152",
"읍부","남자","계","일하지 않았음","","557703",
"읍부","남자","계","미상","","",
"읍부","남자","초등학교","15세 이상 인구","","143997",
"읍부","남자","초등학교","일하였음-계","","76313",
"읍부","남자","초등학교","주로 일하였음","","73406",
"읍부","남자","초등학교","틈틈이 일하였음","","1979",
"읍부","남자","초등학교","일시 휴직","","928",
"읍부","남자","초등학교","일하지 않았음","","67684",
"읍부","남자","초등학교","미상","","",
"읍부","남자","중학교","15세 이상 인구","","181786",
"읍부","남자","중학교","일하였음-계","","106835",
"읍부","남자","중학교","주로 일하였음","","103510",
"읍부","남자","중학교","틈틈이 일하였음","","1976",
"읍부","남자","중학교","일시 휴직","","1349",
"읍부","남자","중학교","일하지 않았음","","74951",
"읍부","남자","중학교","미상","","",
"읍부","남자","고등학교","15세 이상 인구","","732573",
"읍부","남자","고등학교","일하였음-계","","519786",
"읍부","남자","고등학교","주로 일하였음","","507124",
"읍부","남자","고등학교","틈틈이 일하였음","","7162",
"읍부","남자","고등학교","일시 휴직","","5500",
"읍부","남자","고등학교","일하지 않았음","","212787",
"읍부","남자","고등학교","미상","","",
"읍부","남자","대학(4년제 미만)","15세 이상 인구","","276815",
"읍부","남자","대학(4년제 미만)","일하였음-계","","223316",
"읍부","남자","대학(4년제 미만)","주로 일하였음","","215939",
"읍부","남자","대학(4년제 미만)","틈틈이 일하였음","","5194",
"읍부","남자","대학(4년제 미만)","일시 휴직","","2183",
"읍부","남자","대학(4년제 미만)","일하지 않았음","","53499",
"읍부","남자","대학(4년제 미만)","미상","","",
"읍부","남자","대학교(4년제 이상)","15세 이상 인구","","438081",
"읍부","남자","대학교(4년제 이상)","일하였음-계","","321103",
"읍부","남자","대학교(4년제 이상)","주로 일하였음","","307871",
"읍부","남자","대학교(4년제 이상)","틈틈이 일하였음","","10578",
"읍부","남자","대학교(4년제 이상)","일시 휴직","","2654",
"읍부","남자","대학교(4년제 이상)","일하지 않았음","","116978",
"읍부","남자","대학교(4년제 이상)","미상","","",
"읍부","남자","대학원석사과정","15세 이상 인구","","50677",
"읍부","남자","대학원석사과정","일하였음-계","","42611",
"읍부","남자","대학원석사과정","주로 일하였음","","41211",
"읍부","남자","대학원석사과정","틈틈이 일하였음","","1005",
"읍부","남자","대학원석사과정","일시 휴직","","395",
"읍부","남자","대학원석사과정","일하지 않았음","","8066",
"읍부","남자","대학원석사과정","미상","","",
"읍부","남자","대학원박사과정","15세 이상 인구","","12356",
"읍부","남자","대학원박사과정","일하였음-계","","10421",
"읍부","남자","대학원박사과정","주로 일하였음","","10083",
"읍부","남자","대학원박사과정","틈틈이 일하였음","","282",
"읍부","남자","대학원박사과정","일시 휴직","","56",
"읍부","남자","대학원박사과정","일하지 않았음","","1935",
"읍부","남자","대학원박사과정","미상","","",
"읍부","남자","안 받았음(미취학 포함)","15세 이상 인구","","29573",
"읍부","남자","안 받았음(미취학 포함)","일하였음-계","","7770",
"읍부","남자","안 받았음(미취학 포함)","주로 일하였음","","7415",
"읍부","남자","안 받았음(미취학 포함)","틈틈이 일하였음","","268",
"읍부","남자","안 받았음(미취학 포함)","일시 휴직","","87",
"읍부","남자","안 받았음(미취학 포함)","일하지 않았음","","21803",
"읍부","남자","안 받았음(미취학 포함)","미상","","",
"읍부","여자","계","15세 이상 인구","","1881659",
"읍부","여자","계","일하였음-계","","877175",
"읍부","여자","계","주로 일하였음","","793807",
"읍부","여자","계","틈틈이 일하였음","","69640",
"읍부","여자","계","일시 휴직","","13728",
"읍부","여자","계","일하지 않았음","","1004484",
"읍부","여자","계","미상","","",
"읍부","여자","초등학교","15세 이상 인구","","277913",
"읍부","여자","초등학교","일하였음-계","","102918",
"읍부","여자","초등학교","주로 일하였음","","93028",
"읍부","여자","초등학교","틈틈이 일하였음","","9026",
"읍부","여자","초등학교","일시 휴직","","864",
