"행정구역(시군구)별","거주외국인별","연령별","항목","단위","2019 년",
"합계","기타외국인","70세 이상","외국인 주민현항","명","7170",
"합계","한국국적을 취득한 자","계","외국인 주민현항","명","185728",
"합계","한국국적을 취득한 자","0 - 9세","외국인 주민현항","명","4716",
"합계","한국국적을 취득한 자","10 - 19세","외국인 주민현항","명","5724",
"합계","한국국적을 취득한 자","20 - 29세","외국인 주민현항","명","18783",
"합계","한국국적을 취득한 자","30 - 39세","외국인 주민현항","명","60160",
"합계","한국국적을 취득한 자","40 - 49세","외국인 주민현항","명","45416",
"합계","한국국적을 취득한 자","50 - 59세","외국인 주민현항","명","31380",
"합계","한국국적을 취득한 자","60 - 69세","외국인 주민현항","명","15228",
"합계","한국국적을 취득한 자","70세 이상","외국인 주민현항","명","4321",
"서울특별시","합계","계","외국인 주민현항","명","432385",
"서울특별시","합계","0 - 9세","외국인 주민현항","명","18230",
"서울특별시","합계","10 - 19세","외국인 주민현항","명","16899",
"서울특별시","합계","20 - 29세","외국인 주민현항","명","96909",
"서울특별시","합계","30 - 39세","외국인 주민현항","명","85198",
"서울특별시","합계","40 - 49세","외국인 주민현항","명","70933",
"서울특별시","합계","50 - 59세","외국인 주민현항","명","83675",
"서울특별시","합계","60 - 69세","외국인 주민현항","명","49342",
"서울특별시","합계","70세 이상","외국인 주민현항","명","11199",
"서울특별시","한국국적을 가지지 않은 자","계","외국인 주민현항","명","390177",
"서울특별시","한국국적을 가지지 않은 자","0 - 9세","외국인 주민현항","명","17142",
"서울특별시","한국국적을 가지지 않은 자","10 - 19세","외국인 주민현항","명","15273",
"서울특별시","한국국적을 가지지 않은 자","20 - 29세","외국인 주민현항","명","93973",
"서울특별시","한국국적을 가지지 않은 자","30 - 39세","외국인 주민현항","명","76587",
"서울특별시","한국국적을 가지지 않은 자","40 - 49세","외국인 주민현항","명","60561",
"서울특별시","한국국적을 가지지 않은 자","50 - 59세","외국인 주민현항","명","73670",
"서울특별시","한국국적을 가지지 않은 자","60 - 69세","외국인 주민현항","명","43403",
"서울특별시","한국국적을 가지지 않은 자","70세 이상","외국인 주민현항","명","9568",
"서울특별시","외국인근로자","계","외국인 주민현항","명","75322",
"서울특별시","외국인근로자","0 - 9세","외국인 주민현항","명","*",
"서울특별시","외국인근로자","10 - 19세","외국인 주민현항","명","157",
"서울특별시","외국인근로자","20 - 29세","외국인 주민현항","명","7940",
"서울특별시","외국인근로자","30 - 39세","외국인 주민현항","명","14294",
"서울특별시","외국인근로자","40 - 49세","외국인 주민현항","명","17734",
"서울특별시","외국인근로자","50 - 59세","외국인 주민현항","명","31532",
"서울특별시","외국인근로자","60 - 69세","외국인 주민현항","명","3525",
"서울특별시","외국인근로자","70세 이상","외국인 주민현항","명","140",
"서울특별시","결혼이민자","계","외국인 주민현항","명","33281",
"서울특별시","결혼이민자","0 - 9세","외국인 주민현항","명","*",
"서울특별시","결혼이민자","10 - 19세","외국인 주민현항","명","87",
"서울특별시","결혼이민자","20 - 29세","외국인 주민현항","명","3940",
"서울특별시","결혼이민자","30 - 39세","외국인 주민현항","명","10673",
"서울특별시","결혼이민자","40 - 49세","외국인 주민현항","명","8156",
"서울특별시","결혼이민자","50 - 59세","외국인 주민현항","명","7255",
"서울특별시","결혼이민자","60 - 69세","외국인 주민현항","명","2806",
"서울특별시","결혼이민자","70세 이상","외국인 주민현항","명","364",
"서울특별시","유학생","계","외국인 주민현항","명","54647",
"서울특별시","유학생","0 - 9세","외국인 주민현항","명","*",
"서울특별시","유학생","10 - 19세","외국인 주민현항","명","6777",
"서울특별시","유학생","20 - 29세","외국인 주민현항","명","44392",
"서울특별시","유학생","30 - 39세","외국인 주민현항","명","3098",
"서울특별시","유학생","40 - 49세","외국인 주민현항","명","331",
"서울특별시","유학생","50 - 59세","외국인 주민현항","명","40",
"서울특별시","유학생","60 - 69세","외국인 주민현항","명","9",
"서울특별시","유학생","70세 이상","외국인 주민현항","명","*",
"서울특별시","외국국적동포","계","외국인 주민현항","명","91166",
"서울특별시","외국국적동포","0 - 9세","외국인 주민현항","명","301",
"서울특별시","외국국적동포","10 - 19세","외국인 주민현항","명","573",
"서울특별시","외국국적동포","20 - 29세","외국인 주민현항","명","11092",
"서울특별시","외국국적동포","30 - 39세","외국인 주민현항","명","16646",
"서울특별시","외국국적동포","40 - 49세","외국인 주민현항","명","11255",
"서울특별시","외국국적동포","50 - 59세","외국인 주민현항","명","15494",
"서울특별시","외국국적동포","60 - 69세","외국인 주민현항","명","29060",
"서울특별시","외국국적동포","70세 이상","외국인 주민현항","명","6745",
"서울특별시","기타외국인","계","외국인 주민현항","명","135761",
"서울특별시","기타외국인","0 - 9세","외국인 주민현항","명","16841",
"서울특별시","기타외국인","10 - 19세","외국인 주민현항","명","7679",
"서울특별시","기타외국인","20 - 29세","외국인 주민현항","명","26609",
"서울특별시","기타외국인","30 - 39세","외국인 주민현항","명","31876",
"서울특별시","기타외국인","40 - 49세","외국인 주민현항","명","23085",
"서울특별시","기타외국인","50 - 59세","외국인 주민현항","명","19349",
"서울특별시","기타외국인","60 - 69세","외국인 주민현항","명","8003",
"서울특별시","기타외국인","70세 이상","외국인 주민현항","명","2319",
"서울특별시","한국국적을 취득한 자","계","외국인 주민현항","명","42208",
"서울특별시","한국국적을 취득한 자","0 - 9세","외국인 주민현항","명","1088",
"서울특별시","한국국적을 취득한 자","10 - 19세","외국인 주민현항","명","1626",
"서울특별시","한국국적을 취득한 자","20 - 29세","외국인 주민현항","명","2936",
"서울특별시","한국국적을 취득한 자","30 - 39세","외국인 주민현항","명","8611",
"서울특별시","한국국적을 취득한 자","40 - 49세","외국인 주민현항","명","10372",
"서울특별시","한국국적을 취득한 자","50 - 59세","외국인 주민현항","명","10005",
"서울특별시","한국국적을 취득한 자","60 - 69세","외국인 주민현항","명","5939",
"서울특별시","한국국적을 취득한 자","70세 이상","외국인 주민현항","명","1631",
"종로구","합계","계","외국인 주민현항","명","13677",
"종로구","합계","0 - 9세","외국인 주민현항","명","324",
"종로구","합계","10 - 19세","외국인 주민현항","명","1119",
"종로구","합계","20 - 29세","외국인 주민현항","명","5402",
"종로구","합계","30 - 39세","외국인 주민현항","명","2401",
"종로구","합계","40 - 49세","외국인 주민현항","명","1768",
"종로구","합계","50 - 59세","외국인 주민현항","명","1564",
"종로구","합계","60 - 69세","외국인 주민현항","명","876",
"종로구","합계","70세 이상","외국인 주민현항","명","223",
"종로구","한국국적을 가지지 않은 자","계","외국인 주민현항","명","13159",
"종로구","한국국적을 가지지 않은 자","0 - 9세","외국인 주민현항","명","311",
"종로구","한국국적을 가지지 않은 자","10 - 19세","외국인 주민현항","명","1096",
"종로구","한국국적을 가지지 않은 자","20 - 29세","외국인 주민현항","명","5367",
"종로구","한국국적을 가지지 않은 자","30 - 39세","외국인 주민현항","명","2295",
"종로구","한국국적을 가지지 않은 자","40 - 49세","외국인 주민현항","명","1636",
"종로구","한국국적을 가지지 않은 자","50 - 59세","외국인 주민현항","명","1456",
"종로구","한국국적을 가지지 않은 자","60 - 69세","외국인 주민현항","명","791",
"종로구","한국국적을 가지지 않은 자","70세 이상","외국인 주민현항","명","207",
"종로구","외국인근로자","계","외국인 주민현항","명","1302",
"종로구","외국인근로자","0 - 9세","외국인 주민현항","명","*",
"종로구","외국인근로자","10 - 19세","외국인 주민현항","명","*",
"종로구","외국인근로자","20 - 29세","외국인 주민현항","명","142",
"종로구","외국인근로자","30 - 39세","외국인 주민현항","명","301",
"종로구","외국인근로자","40 - 49세","외국인 주민현항","명","284",
"종로구","외국인근로자","50 - 59세","외국인 주민현항","명","494",
"종로구","외국인근로자","60 - 69세","외국인 주민현항","명","71",
"종로구","외국인근로자","70세 이상","외국인 주민현항","명","9",
"종로구","결혼이민자","계","외국인 주민현항","명","613",
"종로구","결혼이민자","0 - 9세","외국인 주민현항","명","*",
"종로구","결혼이민자","10 - 19세","외국인 주민현항","명","*",
"종로구","결혼이민자","20 - 29세","외국인 주민현항","명","71",
"종로구","결혼이민자","30 - 39세","외국인 주민현항","명","202",
"종로구","결혼이민자","40 - 49세","외국인 주민현항","명","152",
"종로구","결혼이민자","50 - 59세","외국인 주민현항","명","122",
"종로구","결혼이민자","60 - 69세","외국인 주민현항","명","52",
"종로구","결혼이민자","70세 이상","외국인 주민현항","명","13",
"종로구","유학생","계","외국인 주민현항","명","5037",
"종로구","유학생","0 - 9세","외국인 주민현항","명","*",
"종로구","유학생","10 - 19세","외국인 주민현항","명","846",
"종로구","유학생","20 - 29세","외국인 주민현항","명","3970",
"종로구","유학생","30 - 39세","외국인 주민현항","명","189",
"종로구","유학생","40 - 49세","외국인 주민현항","명","28",
"종로구","유학생","50 - 59세","외국인 주민현항","명","*",
"종로구","유학생","60 - 69세","외국인 주민현항","명","*",
"종로구","유학생","70세 이상","외국인 주민현항","명","*",
"종로구","외국국적동포","계","외국인 주민현항","명","1649",
"종로구","외국국적동포","0 - 9세","외국인 주민현항","명","6",
"종로구","외국국적동포","10 - 19세","외국인 주민현항","명","19",
"종로구","외국국적동포","20 - 29세","외국인 주민현항","명","203",
"종로구","외국국적동포","30 - 39세","외국인 주민현항","명","303",
"종로구","외국국적동포","40 - 49세","외국인 주민현항","명","202",
"종로구","외국국적동포","50 - 59세","외국인 주민현항","명","304",
"종로구","외국국적동포","60 - 69세","외국인 주민현항","명","502",
"종로구","외국국적동포","70세 이상","외국인 주민현항","명","110",
"종로구","기타외국인","계","외국인 주민현항","명","4558",
"종로구","기타외국인","0 - 9세","외국인 주민현항","명","305",
"종로구","기타외국인","10 - 19세","외국인 주민현항","명","229",
"종로구","기타외국인","20 - 29세","외국인 주민현항","명","981",
"종로구","기타외국인","30 - 39세","외국인 주민현항","명","1300",
"종로구","기타외국인","40 - 49세","외국인 주민현항","명","970",
"종로구","기타외국인","50 - 59세","외국인 주민현항","명","532",
"종로구","기타외국인","60 - 69세","외국인 주민현항","명","166",
"종로구","기타외국인","70세 이상","외국인 주민현항","명","75",
"종로구","한국국적을 취득한 자","계","외국인 주민현항","명","518",
"종로구","한국국적을 취득한 자","0 - 9세","외국인 주민현항","명","13",
"종로구","한국국적을 취득한 자","10 - 19세","외국인 주민현항","명","23",
"종로구","한국국적을 취득한 자","20 - 29세","외국인 주민현항","명","35",
"종로구","한국국적을 취득한 자","30 - 39세","외국인 주민현항","명","106",
"종로구","한국국적을 취득한 자","40 - 49세","외국인 주민현항","명","132",
"종로구","한국국적을 취득한 자","50 - 59세","외국인 주민현항","명","108",
"종로구","한국국적을 취득한 자","60 - 69세","외국인 주민현항","명","85",
"종로구","한국국적을 취득한 자","70세 이상","외국인 주민현항","명","16",
"중구","합계","계","외국인 주민현항","명","13217",
"중구","합계","0 - 9세","외국인 주민현항","명","597",
"중구","합계","10 - 19세","외국인 주민현항","명","607",
"중구","합계","20 - 29세","외국인 주민현항","명","3908",
"중구","합계","30 - 39세","외국인 주민현항","명","2657",
"중구","합계","40 - 49세","외국인 주민현항","명","2035",
"중구","합계","50 - 59세","외국인 주민현항","명","1916",
"중구","합계","60 - 69세","외국인 주민현항","명","1203",
"중구","합계","70세 이상","외국인 주민현항","명","294",
"중구","한국국적을 가지지 않은 자","계","외국인 주민현항","명","12559",
"중구","한국국적을 가지지 않은 자","0 - 9세","외국인 주민현항","명","584",
"중구","한국국적을 가지지 않은 자","10 - 19세","외국인 주민현항","명","582",
"중구","한국국적을 가지지 않은 자","20 - 29세","외국인 주민현항","명","3848",
"중구","한국국적을 가지지 않은 자","30 - 39세","외국인 주민현항","명","2518",
"중구","한국국적을 가지지 않은 자","40 - 49세","외국인 주민현항","명","1878",
"중구","한국국적을 가지지 않은 자","50 - 59세","외국인 주민현항","명","1769",
"중구","한국국적을 가지지 않은 자","60 - 69세","외국인 주민현항","명","1102",
"중구","한국국적을 가지지 않은 자","70세 이상","외국인 주민현항","명","278",
"중구","외국인근로자","계","외국인 주민현항","명","1771",
"중구","외국인근로자","0 - 9세","외국인 주민현항","명","*",
"중구","외국인근로자","10 - 19세","외국인 주민현항","명","5",
"중구","외국인근로자","20 - 29세","외국인 주민현항","명","230",
"중구","외국인근로자","30 - 39세","외국인 주민현항","명","389",
"중구","외국인근로자","40 - 49세","외국인 주민현항","명","420",
"중구","외국인근로자","50 - 59세","외국인 주민현항","명","626",
"중구","외국인근로자","60 - 69세","외국인 주민현항","명","97",
"중구","외국인근로자","70세 이상","외국인 주민현항","명","*",
"중구","결혼이민자","계","외국인 주민현항","명","663",
"중구","결혼이민자","0 - 9세","외국인 주민현항","명","*",
"중구","결혼이민자","10 - 19세","외국인 주민현항","명","*",
"중구","결혼이민자","20 - 29세","외국인 주민현항","명","57",
"중구","결혼이민자","30 - 39세","외국인 주민현항","명","219",
"중구","결혼이민자","40 - 49세","외국인 주민현항","명","179",
"중구","결혼이민자","50 - 59세","외국인 주민현항","명","153",
"중구","결혼이민자","60 - 69세","외국인 주민현항","명","49",
"중구","결혼이민자","70세 이상","외국인 주민현항","명","6",
"중구","유학생","계","외국인 주민현항","명","2628",
"중구","유학생","0 - 9세","외국인 주민현항","명","*",
"중구","유학생","10 - 19세","외국인 주민현항","명","288",
"중구","유학생","20 - 29세","외국인 주민현항","명","2242",
"중구","유학생","30 - 39세","외국인 주민현항","명","85",
"중구","유학생","40 - 49세","외국인 주민현항","명","10",
"중구","유학생","50 - 59세","외국인 주민현항","명","*",
"중구","유학생","60 - 69세","외국인 주민현항","명","*",
"중구","유학생","70세 이상","외국인 주민현항","명","*",
"중구","외국국적동포","계","외국인 주민현항","명","2383",
"중구","외국국적동포","0 - 9세","외국인 주민현항","명","15",
"중구","외국국적동포","10 - 19세","외국인 주민현항","명","17",
"중구","외국국적동포","20 - 29세","외국인 주민현항","명","296",
"중구","외국국적동포","30 - 39세","외국인 주민현항","명","473",
"중구","외국국적동포","40 - 49세","외국인 주민현항","명","314",
"중구","외국국적동포","50 - 59세","외국인 주민현항","명","419",
"중구","외국국적동포","60 - 69세","외국인 주민현항","명","707",
"중구","외국국적동포","70세 이상","외국인 주민현항","명","142",
"중구","기타외국인","계","외국인 주민현항","명","5114",
"중구","기타외국인","0 - 9세","외국인 주민현항","명","569",
"중구","기타외국인","10 - 19세","외국인 주민현항","명","272",
"중구","기타외국인","20 - 29세","외국인 주민현항","명","1023",
"중구","기타외국인","30 - 39세","외국인 주민현항","명","1352",
"중구","기타외국인","40 - 49세","외국인 주민현항","명","955",
"중구","기타외국인","50 - 59세","외국인 주민현항","명","568",
"중구","기타외국인","60 - 69세","외국인 주민현항","명","249",
"중구","기타외국인","70세 이상","외국인 주민현항","명","126",
"중구","한국국적을 취득한 자","계","외국인 주민현항","명","658",
"중구","한국국적을 취득한 자","0 - 9세","외국인 주민현항","명","13",
"중구","한국국적을 취득한 자","10 - 19세","외국인 주민현항","명","25",
"중구","한국국적을 취득한 자","20 - 29세","외국인 주민현항","명","60",
"중구","한국국적을 취득한 자","30 - 39세","외국인 주민현항","명","139",
"중구","한국국적을 취득한 자","40 - 49세","외국인 주민현항","명","157",
"중구","한국국적을 취득한 자","50 - 59세","외국인 주민현항","명","147",
"중구","한국국적을 취득한 자","60 - 69세","외국인 주민현항","명","101",
"중구","한국국적을 취득한 자","70세 이상","외국인 주민현항","명","16",
"용산구","합계","계","외국인 주민현항","명","21238",
"용산구","합계","0 - 9세","외국인 주민현항","명","2710",
"용산구","합계","10 - 19세","외국인 주민현항","명","1274",
"용산구","합계","20 - 29세","외국인 주민현항","명","5217",
"용산구","합계","30 - 39세","외국인 주민현항","명","5064",
"용산구","합계","40 - 49세","외국인 주민현항","명","3388",
"용산구","합계","50 - 59세","외국인 주민현항","명","2218",
"용산구","합계","60 - 69세","외국인 주민현항","명","999",
"용산구","합계","70세 이상","외국인 주민현항","명","368",
"용산구","한국국적을 가지지 않은 자","계","외국인 주민현항","명","20503",
"용산구","한국국적을 가지지 않은 자","0 - 9세","외국인 주민현항","명","2689",
"용산구","한국국적을 가지지 않은 자","10 - 19세","외국인 주민현항","명","1234",
"용산구","한국국적을 가지지 않은 자","20 - 29세","외국인 주민현항","명","5163",
"용산구","한국국적을 가지지 않은 자","30 - 39세","외국인 주민현항","명","4897",
"용산구","한국국적을 가지지 않은 자","40 - 49세","외국인 주민현항","명","3191",
"용산구","한국국적을 가지지 않은 자","50 - 59세","외국인 주민현항","명","2061",
"용산구","한국국적을 가지지 않은 자","60 - 69세","외국인 주민현항","명","921",
"용산구","한국국적을 가지지 않은 자","70세 이상","외국인 주민현항","명","347",
"용산구","외국인근로자","계","외국인 주민현항","명","1812",
"용산구","외국인근로자","0 - 9세","외국인 주민현항","명","*",
"용산구","외국인근로자","10 - 19세","외국인 주민현항","명","*",
"용산구","외국인근로자","20 - 29세","외국인 주민현항","명","316",
"용산구","외국인근로자","30 - 39세","외국인 주민현항","명","654",
"용산구","외국인근로자","40 - 49세","외국인 주민현항","명","371",
"용산구","외국인근로자","50 - 59세","외국인 주민현항","명","411",
"용산구","외국인근로자","60 - 69세","외국인 주민현항","명","54",
"용산구","외국인근로자","70세 이상","외국인 주민현항","명","5",
"용산구","결혼이민자","계","외국인 주민현항","명","1253",
"용산구","결혼이민자","0 - 9세","외국인 주민현항","명","*",
"용산구","결혼이민자","10 - 19세","외국인 주민현항","명","*",
"용산구","결혼이민자","20 - 29세","외국인 주민현항","명","89",
"용산구","결혼이민자","30 - 39세","외국인 주민현항","명","427",
"용산구","결혼이민자","40 - 49세","외국인 주민현항","명","419",
"용산구","결혼이민자","50 - 59세","외국인 주민현항","명","212",
"용산구","결혼이민자","60 - 69세","외국인 주민현항","명","71",
"용산구","결혼이민자","70세 이상","외국인 주민현항","명","33",
"용산구","유학생","계","외국인 주민현항","명","1126",
"용산구","유학생","0 - 9세","외국인 주민현항","명","*",
"용산구","유학생","10 - 19세","외국인 주민현항","명","125",
"용산구","유학생","20 - 29세","외국인 주민현항","명","879",
"용산구","유학생","30 - 39세","외국인 주민현항","명","101",
"용산구","유학생","40 - 49세","외국인 주민현항","명","20",
"용산구","유학생","50 - 59세","외국인 주민현항","명","*",
"용산구","유학생","60 - 69세","외국인 주민현항","명","*",
"용산구","유학생","70세 이상","외국인 주민현항","명","*",
"용산구","외국국적동포","계","외국인 주민현항","명","2442",
"용산구","외국국적동포","0 - 9세","외국인 주민현항","명","47",
"용산구","외국국적동포","10 - 19세","외국인 주민현항","명","91",
"용산구","외국국적동포","20 - 29세","외국인 주민현항","명","264",
"용산구","외국국적동포","30 - 39세","외국인 주민현항","명","466",
"용산구","외국국적동포","40 - 49세","외국인 주민현항","명","418",
"용산구","외국국적동포","50 - 59세","외국인 주민현항","명","489",
"용산구","외국국적동포","60 - 69세","외국인 주민현항","명","512",
"용산구","외국국적동포","70세 이상","외국인 주민현항","명","155",
"용산구","기타외국인","계","외국인 주민현항","명","13870",
"용산구","기타외국인","0 - 9세","외국인 주민현항","명","2642",
"용산구","기타외국인","10 - 19세","외국인 주민현항","명","1015",
"용산구","기타외국인","20 - 29세","외국인 주민현항","명","3615",
"용산구","기타외국인","30 - 39세","외국인 주민현항","명","3249",
"용산구","기타외국인","40 - 49세","외국인 주민현항","명","1963",
"용산구","기타외국인","50 - 59세","외국인 주민현항","명","948",
"용산구","기타외국인","60 - 69세","외국인 주민현항","명","284",
"용산구","기타외국인","70세 이상","외국인 주민현항","명","154",
"용산구","한국국적을 취득한 자","계","외국인 주민현항","명","735",
"용산구","한국국적을 취득한 자","0 - 9세","외국인 주민현항","명","21",
"용산구","한국국적을 취득한 자","10 - 19세","외국인 주민현항","명","40",
"용산구","한국국적을 취득한 자","20 - 29세","외국인 주민현항","명","54",
"용산구","한국국적을 취득한 자","30 - 39세","외국인 주민현항","명","167",
"용산구","한국국적을 취득한 자","40 - 49세","외국인 주민현항","명","197",
"용산구","한국국적을 취득한 자","50 - 59세","외국인 주민현항","명","157",
"용산구","한국국적을 취득한 자","60 - 69세","외국인 주민현항","명","78",
"용산구","한국국적을 취득한 자","70세 이상","외국인 주민현항","명","21",
"성동구","합계","계","외국인 주민현항","명","12861",
"성동구","합계","0 - 9세","외국인 주민현항","명","528",
"성동구","합계","10 - 19세","외국인 주민현항","명","629",
"성동구","합계","20 - 29세","외국인 주민현항","명","3789",
"성동구","합계","30 - 39세","외국인 주민현항","명","2525",
"성동구","합계","40 - 49세","외국인 주민현항","명","1994",
"성동구","합계","50 - 59세","외국인 주민현항","명","2005",
"성동구","합계","60 - 69세","외국인 주민현항","명","1167",
"성동구","합계","70세 이상","외국인 주민현항","명","224",
"성동구","한국국적을 가지지 않은 자","계","외국인 주민현항","명","11774",
"성동구","한국국적을 가지지 않은 자","0 - 9세","외국인 주민현항","명","499",
"성동구","한국국적을 가지지 않은 자","10 - 19세","외국인 주민현항","명","594",
"성동구","한국국적을 가지지 않은 자","20 - 29세","외국인 주민현항","명","3707",
"성동구","한국국적을 가지지 않은 자","30 - 39세","외국인 주민현항","명","2277",
"성동구","한국국적을 가지지 않은 자","40 - 49세","외국인 주민현항","명","1713",
"성동구","한국국적을 가지지 않은 자","50 - 59세","외국인 주민현항","명","1772",
"성동구","한국국적을 가지지 않은 자","60 - 69세","외국인 주민현항","명","1018",
"성동구","한국국적을 가지지 않은 자","70세 이상","외국인 주민현항","명","194",
"성동구","외국인근로자","계","외국인 주민현항","명","1748",
"성동구","외국인근로자","0 - 9세","외국인 주민현항","명","*",
"성동구","외국인근로자","10 - 19세","외국인 주민현항","명","5",
"성동구","외국인근로자","20 - 29세","외국인 주민현항","명","271",
"성동구","외국인근로자","30 - 39세","외국인 주민현항","명","358",
"성동구","외국인근로자","40 - 49세","외국인 주민현항","명","377",
"성동구","외국인근로자","50 - 59세","외국인 주민현항","명","645",
"성동구","외국인근로자","60 - 69세","외국인 주민현항","명","88",
"성동구","외국인근로자","70세 이상","외국인 주민현항","명","*",
"성동구","결혼이민자","계","외국인 주민현항","명","1115",
"성동구","결혼이민자","0 - 9세","외국인 주민현항","명","*",
"성동구","결혼이민자","10 - 19세","외국인 주민현항","명","*",
"성동구","결혼이민자","20 - 29세","외국인 주민현항","명","121",
"성동구","결혼이민자","30 - 39세","외국인 주민현항","명","419",
"성동구","결혼이민자","40 - 49세","외국인 주민현항","명","305",
"성동구","결혼이민자","50 - 59세","외국인 주민현항","명","186",
"성동구","결혼이민자","60 - 69세","외국인 주민현항","명","71",
"성동구","결혼이민자","70세 이상","외국인 주민현항","명","12",
"성동구","유학생","계","외국인 주민현항","명","2753",
"성동구","유학생","0 - 9세","외국인 주민현항","명","*",
"성동구","유학생","10 - 19세","외국인 주민현항","명","370",
"성동구","유학생","20 - 29세","외국인 주민현항","명","2253",
"성동구","유학생","30 - 39세","외국인 주민현항","명","117",
"성동구","유학생","40 - 49세","외국인 주민현항","명","11",
"성동구","유학생","50 - 59세","외국인 주민현항","명","*",
"성동구","유학생","60 - 69세","외국인 주민현항","명","*",
"성동구","유학생","70세 이상","외국인 주민현항","명","*",
"성동구","외국국적동포","계","외국인 주민현항","명","2233",
"성동구","외국국적동포","0 - 9세","외국인 주민현항","명","29",
"성동구","외국국적동포","10 - 19세","외국인 주민현항","명","22",
"성동구","외국국적동포","20 - 29세","외국인 주민현항","명","261",
"성동구","외국국적동포","30 - 39세","외국인 주민현항","명","418",
"성동구","외국국적동포","40 - 49세","외국인 주민현항","명","309",
"성동구","외국국적동포","50 - 59세","외국인 주민현항","명","390",
"성동구","외국국적동포","60 - 69세","외국인 주민현항","명","674",
"성동구","외국국적동포","70세 이상","외국인 주민현항","명","130",
"성동구","기타외국인","계","외국인 주민현항","명","3925",
"성동구","기타외국인","0 - 9세","외국인 주민현항","명","470",
"성동구","기타외국인","10 - 19세","외국인 주민현항","명","196",
