행정구역(시도)별(1),특성별(1),특성별(2),2020,매우 만족,약간 만족,보통,약간 불만족,매우 불만족
전국,연령*성별,20∼29세*여자,100,22.6,39.6,31.2,6.4,0.3
전국,연령*성별,30∼39세*남자,100,22.8,35.1,32.8,8.4,1
전국,연령*성별,30∼39세*여자,100,22,36,34,7,1
전국,연령*성별,40∼49세*남자,100,20.2,38.8,30.1,9.6,1.3
전국,연령*성별,40∼49세*여자,100,21.4,41.3,28,8.3,1
전국,연령*성별,50∼59세*남자,100,21.8,38.5,29.5,9.7,0.6
전국,연령*성별,50∼59세*여자,100,21.8,41.8,25.9,9.9,0.6
전국,연령*성별,60세 이상*남자,100,24.1,39.9,25.7,9.5,0.7
전국,연령*성별,60세 이상*여자,100,25.5,39.7,26,8.1,0.6
전국,연령*성별,65세 이상*남자,100,25.1,39.5,25.1,9.5,0.8
전국,연령*성별,65세 이상*여자,100,25.5,40.1,26.5,7.5,0.4
전국,장애인복지카드 소유여부,장애인 복지카드 있음,100,25.6,38.5,26.4,8.2,1.3
전국,장애인복지카드 소유여부,장애인 복지카드 없음,100,24,39,28.3,8,0.7
서울특별시,전체,계,100,26.2,41,24.7,7.7,0.4
서울특별시,성별,남자,100,27.4,37.6,26.2,8.6,0.2
서울특별시,성별,여자,100,25.3,43.8,23.4,7,0.5
부산광역시,전체,계,100,27.4,38.7,23.1,10.6,0.2
부산광역시,성별,남자,100,27.8,38.2,23.2,10.8,-
부산광역시,성별,여자,100,27,39.1,23.1,10.5,0.4
대구광역시,전체,계,100,24.3,41.6,25,8.5,0.7
대구광역시,성별,남자,100,20.4,41.8,28.7,8,1.1
대구광역시,성별,여자,100,27.6,41.5,21.7,8.9,0.3
인천광역시,전체,계,100,23.4,33.6,33.1,8.8,1.1
인천광역시,성별,남자,100,21.9,36.4,29.6,10.9,1.2
인천광역시,성별,여자,100,24.7,31,36.4,6.8,1
광주광역시,전체,계,100,22.5,45,26.8,4.9,0.8
광주광역시,성별,남자,100,27.6,38.8,31.1,1.8,0.8
광주광역시,성별,여자,100,18,50.6,23,7.6,0.8
대전광역시,전체,계,100,27.6,35.5,28,6.5,2.5
대전광역시,성별,남자,100,28.3,38.5,25.3,4.8,3.1
대전광역시,성별,여자,100,27,32.6,30.5,8.1,1.9
울산광역시,전체,계,100,21.7,42.6,27.3,7.3,1.1
울산광역시,성별,남자,100,20.5,41.6,29.3,6.6,2
울산광역시,성별,여자,100,22.8,43.5,25.4,8,0.3
세종특별자치시,전체,계,100,23.4,41.4,26.1,9.2,-
세종특별자치시,성별,남자,100,24,44.4,23,8.6,-
세종특별자치시,성별,여자,100,22.8,38.8,28.8,9.6,-
경기도,전체,계,100,22.5,36.1,31.7,8.9,0.8
경기도,성별,남자,100,21.4,36.1,32.5,9.3,0.8
경기도,성별,여자,100,23.5,36.2,31,8.5,0.8
강원도,전체,계,100,28.1,42,25.4,4.4,0.2
강원도,성별,남자,100,26.7,41.6,27,4.4,0.3
강원도,성별,여자,100,29.4,42.3,23.9,4.3,-
충청북도,전체,계,100,24.6,39.8,24.7,9.1,1.8
충청북도,성별,남자,100,22.5,41.8,23.7,10.9,1.2
충청북도,성별,여자,100,26.9,37.7,25.8,7.3,2.4
충청남도,전체,계,100,24.5,38.8,30.4,5.9,0.4
충청남도,성별,남자,100,25.4,40.4,27.6,5.8,0.8
충청남도,성별,여자,100,23.7,37.4,33,5.9,-
전라북도,전체,계,100,25,39.1,28.1,7.2,0.6
전라북도,성별,남자,100,27.8,37.6,27.1,6.7,0.7
전라북도,성별,여자,100,22.3,40.6,28.9,7.6,0.5
전라남도,전체,계,100,23.5,40.5,27.3,8.1,0.7
전라남도,성별,남자,100,25.8,38.3,25.1,10.5,0.4
전라남도,성별,여자,100,21.3,42.6,29.4,5.7,1
경상북도,전체,계,100,18.3,41.6,31.4,8,0.9
경상북도,성별,남자,100,19.5,37.2,35,7.7,0.7
경상북도,성별,여자,100,17,46.4,27.4,8.2,1
경상남도,전체,계,100,23.5,41.1,27.9,7.1,0.6
경상남도,성별,남자,100,21,42.9,28.5,6.8,0.8
경상남도,성별,여자,100,25.8,39.3,27.3,7.3,0.4
제주특별자치도,전체,계,100,23,37.3,29.5,9.1,1.1
제주특별자치도,성별,남자,100,19.5,36.5,32.9,8.8,2.2
제주특별자치도,성별,여자,100,26.3,38,26.3,9.4,-
