"성별","연령(5세)별","교육정도별",2019
"계","60 - 64세","대학(교)",2546
"계","60 - 64세","대학원 이상",500
"계","60 - 64세","미상",1264
"계","65 - 69세","계",20181
"계","65 - 69세","불취학",1029
"계","65 - 69세","초등학교",5758
"계","65 - 69세","중고등학교",9741
"계","65 - 69세","중학교",3961
"계","65 - 69세","고등학교",5780
"계","65 - 69세","대학이상",2535
"계","65 - 69세","대학(교)",2105
"계","65 - 69세","대학원 이상",430
"계","65 - 69세","미상",1118
"계","70 - 74세","계",26083
"계","70 - 74세","불취학",2143
"계","70 - 74세","초등학교",8496
"계","70 - 74세","중고등학교",10910
"계","70 - 74세","중학교",4655
"계","70 - 74세","고등학교",6255
"계","70 - 74세","대학이상",3143
"계","70 - 74세","대학(교)",2704
"계","70 - 74세","대학원 이상",439
"계","70 - 74세","미상",1391
"계","75 - 79세","계",42208
"계","75 - 79세","불취학",6504
"계","75 - 79세","초등학교",15195
"계","75 - 79세","중고등학교",14392
"계","75 - 79세","중학교",6762
"계","75 - 79세","고등학교",7630
"계","75 - 79세","대학이상",4178
"계","75 - 79세","대학(교)",3567
"계","75 - 79세","대학원 이상",611
"계","75 - 79세","미상",1939
"계","80세이상","계",138602
"계","80세이상","불취학",42872
"계","80세이상","초등학교",48627
"계","80세이상","중고등학교",29680
"계","80세이상","중학교",13210
"계","80세이상","고등학교",16470
"계","80세이상","대학이상",10898
"계","80세이상","대학(교)",9369
"계","80세이상","대학원 이상",1529
"계","80세이상","미상",6525
"계","80 - 84세","계",53140
"계","80 - 84세","불취학",11410
"계","80 - 84세","초등학교",19950
"계","80 - 84세","중고등학교",14330
"계","80 - 84세","중학교",6214
"계","80 - 84세","고등학교",8116
"계","80 - 84세","대학이상",5072
"계","80 - 84세","대학(교)",4369
"계","80 - 84세","대학원 이상",703
"계","80 - 84세","미상",2378
"계","85 - 89세","계",46366
"계","85 - 89세","불취학",14091
"계","85 - 89세","초등학교",16637
"계","85 - 89세","중고등학교",9788
"계","85 - 89세","중학교",4408
"계","85 - 89세","고등학교",5380
"계","85 - 89세","대학이상",3701
"계","85 - 89세","대학(교)",3191
"계","85 - 89세","대학원 이상",510
"계","85 - 89세","미상",2149
"계","90세이상","계",39096
"계","90세이상","불취학",17371
"계","90세이상","초등학교",12040
"계","90세이상","중고등학교",5562
"계","90세이상","중학교",2588
"계","90세이상","고등학교",2974
"계","90세이상","대학이상",2125
"계","90세이상","대학(교)",1809
"계","90세이상","대학원 이상",316
"계","90세이상","미상",1998
"계","90 - 94세","계",27463
"계","90 - 94세","불취학",11224
"계","90 - 94세","초등학교",9031
"계","90 - 94세","중고등학교",4257
"계","90 - 94세","중학교",1957
"계","90 - 94세","고등학교",2300
"계","90 - 94세","대학이상",1578
"계","90 - 94세","대학(교)",1350
"계","90 - 94세","대학원 이상",228
"계","90 - 94세","미상",1373
"계","95 - 99세","계",9928
"계","95 - 99세","불취학",5122
"계","95 - 99세","초등학교",2637
"계","95 - 99세","중고등학교",1183
"계","95 - 99세","중학교",572
"계","95 - 99세","고등학교",611
"계","95 - 99세","대학이상",474
"계","95 - 99세","대학(교)",394
"계","95 - 99세","대학원 이상",80
"계","95 - 99세","미상",512
"계","100세이상","계",1705
"계","100세이상","불취학",1025
"계","100세이상","초등학교",372
"계","100세이상","중고등학교",122
"계","100세이상","중학교",59
"계","100세이상","고등학교",63
"계","100세이상","대학이상",73
"계","100세이상","대학(교)",65
"계","100세이상","대학원 이상",8
"계","100세이상","미상",113
"계","연령미상","계",71
"계","연령미상","불취학",9
"계","연령미상","초등학교",6
"계","연령미상","중고등학교",2
"계","연령미상","중학교",0
"계","연령미상","고등학교",2
"계","연령미상","대학이상",0
"계","연령미상","대학(교)",0
"계","연령미상","대학원 이상",0
"계","연령미상","미상",54
"남자","계","계",160322
"남자","계","불취학",12218
"남자","계","초등학교",39921
"남자","계","중고등학교",71037
"남자","계","중학교",26018
"남자","계","고등학교",45019
"남자","계","대학이상",28716
"남자","계","대학(교)",24805
"남자","계","대학원 이상",3911
"남자","계","미상",8430
"남자","14세이하","계",803
"남자","14세이하","불취학",697
"남자","14세이하","초등학교",63
"남자","14세이하","중고등학교",0
"남자","14세이하","중학교",0
"남자","14세이하","고등학교",0
"남자","14세이하","대학이상",0
"남자","14세이하","대학(교)",0
"남자","14세이하","대학원 이상",0
"남자","14세이하","미상",43
"남자","15 - 19세","계",374
"남자","15 - 19세","불취학",10
"남자","15 - 19세","초등학교",17
"남자","15 - 19세","중고등학교",324
"남자","15 - 19세","중학교",155
"남자","15 - 19세","고등학교",169
"남자","15 - 19세","대학이상",2
"남자","15 - 19세","대학(교)",2
"남자","15 - 19세","대학원 이상",0
"남자","15 - 19세","미상",21
"남자","20 - 24세","계",682
"남자","20 - 24세","불취학",19
"남자","20 - 24세","초등학교",5
"남자","20 - 24세","중고등학교",416
"남자","20 - 24세","중학교",39
"남자","20 - 24세","고등학교",377
"남자","20 - 24세","대학이상",205
"남자","20 - 24세","대학(교)",202
"남자","20 - 24세","대학원 이상",3
"남자","20 - 24세","미상",37
"남자","25 - 29세","계",938
"남자","25 - 29세","불취학",20
"남자","25 - 29세","초등학교",7
"남자","25 - 29세","중고등학교",429
"남자","25 - 29세","중학교",47
"남자","25 - 29세","고등학교",382
"남자","25 - 29세","대학이상",438
"남자","25 - 29세","대학(교)",419
"남자","25 - 29세","대학원 이상",19
"남자","25 - 29세","미상",44
"남자","30 - 34세","계",1132
"남자","30 - 34세","불취학",17
"남자","30 - 34세","초등학교",16
"남자","30 - 34세","중고등학교",466
"남자","30 - 34세","중학교",53
"남자","30 - 34세","고등학교",413
"남자","30 - 34세","대학이상",576
"남자","30 - 34세","대학(교)",536
"남자","30 - 34세","대학원 이상",40
"남자","30 - 34세","미상",57
"남자","35 - 39세","계",1990
"남자","35 - 39세","불취학",24
"남자","35 - 39세","초등학교",35
"남자","35 - 39세","중고등학교",952
"남자","35 - 39세","중학교",157
"남자","35 - 39세","고등학교",795
"남자","35 - 39세","대학이상",866
"남자","35 - 39세","대학(교)",796
"남자","35 - 39세","대학원 이상",70
"남자","35 - 39세","미상",113
"남자","40 - 44세","계",2755
"남자","40 - 44세","불취학",33
"남자","40 - 44세","초등학교",54
"남자","40 - 44세","중고등학교",1505
"남자","40 - 44세","중학교",236
"남자","40 - 44세","고등학교",1269
"남자","40 - 44세","대학이상",1008
"남자","40 - 44세","대학(교)",911
"남자","40 - 44세","대학원 이상",97
"남자","40 - 44세","미상",155
"남자","45 - 49세","계",5328
"남자","45 - 49세","불취학",62
"남자","45 - 49세","초등학교",175
"남자","45 - 49세","중고등학교",3206
"남자","45 - 49세","중학교",605
"남자","45 - 49세","고등학교",2601
"남자","45 - 49세","대학이상",1526
"남자","45 - 49세","대학(교)",1352
"남자","45 - 49세","대학원 이상",174
"남자","45 - 49세","미상",359
"남자","50 - 54세","계",8096
"남자","50 - 54세","불취학",161
"남자","50 - 54세","초등학교",480
"남자","50 - 54세","중고등학교",4778
"남자","50 - 54세","중학교",1157
"남자","50 - 54세","고등학교",3621
"남자","50 - 54세","대학이상",2168
"남자","50 - 54세","대학(교)",1971
"남자","50 - 54세","대학원 이상",197
"남자","50 - 54세","미상",509
"남자","55 - 59세","계",11942
"남자","55 - 59세","불취학",295
"남자","55 - 59세","초등학교",1553
"남자","55 - 59세","중고등학교",6548
"남자","55 - 59세","중학교",1983
"남자","55 - 59세","고등학교",4565
"남자","55 - 59세","대학이상",2697
"남자","55 - 59세","대학(교)",2369
"남자","55 - 59세","대학원 이상",328
"남자","55 - 59세","미상",849
"남자","60 - 64세","계",14219
"남자","60 - 64세","불취학",475
"남자","60 - 64세","초등학교",2805
"남자","60 - 64세","중고등학교",7520
"남자","60 - 64세","중학교",2695
"남자","60 - 64세","고등학교",4825
"남자","60 - 64세","대학이상",2435
"남자","60 - 64세","대학(교)",2022
"남자","60 - 64세","대학원 이상",413
"남자","60 - 64세","미상",984
"남자","65 - 69세","계",14417
"남자","65 - 69세","불취학",564
"남자","65 - 69세","초등학교",3667
"남자","65 - 69세","중고등학교",7296
"남자","65 - 69세","중학교",2847
"남자","65 - 69세","고등학교",4449
"남자","65 - 69세","대학이상",2082
"남자","65 - 69세","대학(교)",1704
"남자","65 - 69세","대학원 이상",378
"남자","65 - 69세","미상",808
"남자","70 - 74세","계",17633
"남자","70 - 74세","불취학",928
"남자","70 - 74세","초등학교",5058
"남자","70 - 74세","중고등학교",8144
"남자","70 - 74세","중학교",3289
"남자","70 - 74세","고등학교",4855
"남자","70 - 74세","대학이상",2576
"남자","70 - 74세","대학(교)",2186
"남자","70 - 74세","대학원 이상",390
"남자","70 - 74세","미상",927
"남자","75 - 79세","계",25443
"남자","75 - 79세","불취학",2104
"남자","75 - 79세","초등학교",8002
"남자","75 - 79세","중고등학교",10680
"남자","75 - 79세","중학교",4821
"남자","75 - 79세","고등학교",5859
"남자","75 - 79세","대학이상",3505
"남자","75 - 79세","대학(교)",2960
"남자","75 - 79세","대학원 이상",545
"남자","75 - 79세","미상",1152
"남자","80세이상","계",54524
"남자","80세이상","불취학",6808
"남자","80세이상","초등학교",17982
"남자","80세이상","중고등학교",18771
"남자","80세이상","중학교",7934
"남자","80세이상","고등학교",10837
"남자","80세이상","대학이상",8632
"남자","80세이상","대학(교)",7375
"남자","80세이상","대학원 이상",1257
"남자","80세이상","미상",2331
"남자","80 - 84세","계",27070
"남자","80 - 84세","불취학",2651
"남자","80 - 84세","초등학교",8832
"남자","80 - 84세","중고등학교",10228
"남자","80 - 84세","중학교",4105
"남자","80 - 84세","고등학교",6123
"남자","80 - 84세","대학이상",4227
"남자","80 - 84세","대학(교)",3623
"남자","80 - 84세","대학원 이상",604
"남자","80 - 84세","미상",1132
"남자","85 - 89세","계",17440
"남자","85 - 89세","불취학",2159
"남자","85 - 89세","초등학교",5853
"남자","85 - 89세","중고등학교",5804
"남자","85 - 89세","중학교",2537
"남자","85 - 89세","고등학교",3267
"남자","85 - 89세","대학이상",2919
"남자","85 - 89세","대학(교)",2504
"남자","85 - 89세","대학원 이상",415
"남자","85 - 89세","미상",705
"남자","90세이상","계",10014
"남자","90세이상","불취학",1998
"남자","90세이상","초등학교",3297
"남자","90세이상","중고등학교",2739
"남자","90세이상","중학교",1292
"남자","90세이상","고등학교",1447
"남자","90세이상","대학이상",1486
"남자","90세이상","대학(교)",1248
"남자","90세이상","대학원 이상",238
"남자","90세이상","미상",494
"남자","90 - 94세","계",7524
"남자","90 - 94세","불취학",1405
"남자","90 - 94세","초등학교",2551
"남자","90 - 94세","중고등학교",2084
"남자","90 - 94세","중학교",966
"남자","90 - 94세","고등학교",1118
"남자","90 - 94세","대학이상",1132
"남자","90 - 94세","대학(교)",954
"남자","90 - 94세","대학원 이상",178
"남자","90 - 94세","미상",352
"남자","95 - 99세","계",2212
"남자","95 - 99세","불취학",527
"남자","95 - 99세","초등학교",660
"남자","95 - 99세","중고등학교",597
"남자","95 - 99세","중학교",294
"남자","95 - 99세","고등학교",303
"남자","95 - 99세","대학이상",306
"남자","95 - 99세","대학(교)",250
"남자","95 - 99세","대학원 이상",56
"남자","95 - 99세","미상",122
"남자","100세이상","계",278
"남자","100세이상","불취학",66
"남자","100세이상","초등학교",86
"남자","100세이상","중고등학교",58
"남자","100세이상","중학교",32
"남자","100세이상","고등학교",26
"남자","100세이상","대학이상",48
"남자","100세이상","대학(교)",44
"남자","100세이상","대학원 이상",4
"남자","100세이상","미상",20
"남자","연령미상","계",46
"남자","연령미상","불취학",1
"남자","연령미상","초등학교",2
"남자","연령미상","중고등학교",2
"남자","연령미상","중학교",0
"남자","연령미상","고등학교",2
"남자","연령미상","대학이상",0
"남자","연령미상","대학(교)",0
"남자","연령미상","대학원 이상",0
"남자","연령미상","미상",41
"여자","계","계",134788
"여자","계","불취학",43291
"여자","계","초등학교",45733
"여자","계","중고등학교",30068
"여자","계","중학교",12368
"여자","계","고등학교",17700
"여자","계","대학이상",8870
"여자","계","대학(교)",7912
"여자","계","대학원 이상",958
"여자","계","미상",6826
"여자","14세이하","계",614
"여자","14세이하","불취학",536
"여자","14세이하","초등학교",44
"여자","14세이하","중고등학교",0
"여자","14세이하","중학교",0
"여자","14세이하","고등학교",0
"여자","14세이하","대학이상",0
"여자","14세이하","대학(교)",0
"여자","14세이하","대학원 이상",0
"여자","14세이하","미상",34
"여자","15 - 19세","계",236
"여자","15 - 19세","불취학",5
"여자","15 - 19세","초등학교",9
"여자","15 - 19세","중고등학교",209
"여자","15 - 19세","중학교",97
"여자","15 - 19세","고등학교",112
"여자","15 - 19세","대학이상",3
"여자","15 - 19세","대학(교)",3
"여자","15 - 19세","대학원 이상",0
"여자","15 - 19세","미상",10
"여자","20 - 24세","계",444
"여자","20 - 24세","불취학",6
"여자","20 - 24세","초등학교",10
"여자","20 - 24세","중고등학교",242
"여자","20 - 24세","중학교",26
"여자","20 - 24세","고등학교",216
"여자","20 - 24세","대학이상",176
"여자","20 - 24세","대학(교)",172
"여자","20 - 24세","대학원 이상",4
"여자","20 - 24세","미상",10
"여자","25 - 29세","계",497
"여자","25 - 29세","불취학",12
"여자","25 - 29세","초등학교",3
"여자","25 - 29세","중고등학교",178
"여자","25 - 29세","중학교",17
"여자","25 - 29세","고등학교",161
"여자","25 - 29세","대학이상",281
"여자","25 - 29세","대학(교)",270
"여자","25 - 29세","대학원 이상",11
"여자","25 - 29세","미상",23
"여자","30 - 34세","계",656
"여자","30 - 34세","불취학",7
"여자","30 - 34세","초등학교",11
"여자","30 - 34세","중고등학교",224
"여자","30 - 34세","중학교",42
"여자","30 - 34세","고등학교",182
"여자","30 - 34세","대학이상",360
"여자","30 - 34세","대학(교)",338
"여자","30 - 34세","대학원 이상",22
"여자","30 - 34세","미상",54
"여자","35 - 39세","계",1127
"여자","35 - 39세","불취학",12
"여자","35 - 39세","초등학교",16
"여자","35 - 39세","중고등학교",483
"여자","35 - 39세","중학교",87
"여자","35 - 39세","고등학교",396
"여자","35 - 39세","대학이상",552
"여자","35 - 39세","대학(교)",494
"여자","35 - 39세","대학원 이상",58
"여자","35 - 39세","미상",64
"여자","40 - 44세","계",1464
"여자","40 - 44세","불취학",19
"여자","40 - 44세","초등학교",38
"여자","40 - 44세","중고등학교",766
"여자","40 - 44세","중학교",96
"여자","40 - 44세","고등학교",670
"여자","40 - 44세","대학이상",577
"여자","40 - 44세","대학(교)",497
"여자","40 - 44세","대학원 이상",80
"여자","40 - 44세","미상",64
"여자","45 - 49세","계",2373
"여자","45 - 49세","불취학",43
"여자","45 - 49세","초등학교",65
"여자","45 - 49세","중고등학교",1381
"여자","45 - 49세","중학교",185
"여자","45 - 49세","고등학교",1196
"여자","45 - 49세","대학이상",753
"여자","45 - 49세","대학(교)",666
"여자","45 - 49세","대학원 이상",87
"여자","45 - 49세","미상",131
"여자","50 - 54세","계",3000
"여자","50 - 54세","불취학",65
"여자","50 - 54세","초등학교",199
"여자","50 - 54세","중고등학교",1804
"여자","50 - 54세","중학교",368
"여자","50 - 54세","고등학교",1436
"여자","50 - 54세","대학이상",789
"여자","50 - 54세","대학(교)",713
"여자","50 - 54세","대학원 이상",76
"여자","50 - 54세","미상",143
"여자","55 - 59세","계",4253
"여자","55 - 59세","불취학",159
"여자","55 - 59세","초등학교",683
"여자","55 - 59세","중고등학교",2357
"여자","55 - 59세","중학교",737
"여자","55 - 59세","고등학교",1620
"여자","55 - 59세","대학이상",809
"여자","55 - 59세","대학(교)",715
"여자","55 - 59세","대학원 이상",94
"여자","55 - 59세","미상",245
"여자","60 - 64세","계",5042
"여자","60 - 64세","불취학",275
"여자","60 - 64세","초등학교",1284
"여자","60 - 64세","중고등학교",2592
"여자","60 - 64세","중학교",1016
"여자","60 - 64세","고등학교",1576
"여자","60 - 64세","대학이상",611
"여자","60 - 64세","대학(교)",524
"여자","60 - 64세","대학원 이상",87
"여자","60 - 64세","미상",280
"여자","65 - 69세","계",5764
"여자","65 - 69세","불취학",465
"여자","65 - 69세","초등학교",2091
"여자","65 - 69세","중고등학교",2445
"여자","65 - 69세","중학교",1114
"여자","65 - 69세","고등학교",1331
"여자","65 - 69세","대학이상",453
"여자","65 - 69세","대학(교)",401
"여자","65 - 69세","대학원 이상",52
"여자","65 - 69세","미상",310
"여자","70 - 74세","계",8450
"여자","70 - 74세","불취학",1215
"여자","70 - 74세","초등학교",3438
"여자","70 - 74세","중고등학교",2766
"여자","70 - 74세","중학교",1366
"여자","70 - 74세","고등학교",1400
"여자","70 - 74세","대학이상",567
"여자","70 - 74세","대학(교)",518
"여자","70 - 74세","대학원 이상",49
"여자","70 - 74세","미상",464
"여자","75 - 79세","계",16765
"여자","75 - 79세","불취학",4400
"여자","75 - 79세","초등학교",7193
"여자","75 - 79세","중고등학교",3712
"여자","75 - 79세","중학교",1941
"여자","75 - 79세","고등학교",1771
"여자","75 - 79세","대학이상",673
"여자","75 - 79세","대학(교)",607
"여자","75 - 79세","대학원 이상",66
"여자","75 - 79세","미상",787
"여자","80세이상","계",84078
"여자","80세이상","불취학",36064
"여자","80세이상","초등학교",30645
"여자","80세이상","중고등학교",10909
"여자","80세이상","중학교",5276
"여자","80세이상","고등학교",5633
"여자","80세이상","대학이상",2266
"여자","80세이상","대학(교)",1994
"여자","80세이상","대학원 이상",272
"여자","80세이상","미상",4194
"여자","80 - 84세","계",26070
"여자","80 - 84세","불취학",8759
"여자","80 - 84세","초등학교",11118
"여자","80 - 84세","중고등학교",4102
"여자","80 - 84세","중학교",2109
"여자","80 - 84세","고등학교",1993
"여자","80 - 84세","대학이상",845
"여자","80 - 84세","대학(교)",746
"여자","80 - 84세","대학원 이상",99
"여자","80 - 84세","미상",1246
"여자","85 - 89세","계",28926
"여자","85 - 89세","불취학",11932
"여자","85 - 89세","초등학교",10784
"여자","85 - 89세","중고등학교",3984
"여자","85 - 89세","중학교",1871
"여자","85 - 89세","고등학교",2113
"여자","85 - 89세","대학이상",782
"여자","85 - 89세","대학(교)",687
"여자","85 - 89세","대학원 이상",95
"여자","85 - 89세","미상",1444
"여자","90세이상","계",29082
"여자","90세이상","불취학",15373
"여자","90세이상","초등학교",8743
"여자","90세이상","중고등학교",2823
"여자","90세이상","중학교",1296
"여자","90세이상","고등학교",1527
"여자","90세이상","대학이상",639
"여자","90세이상","대학(교)",561
"여자","90세이상","대학원 이상",78
"여자","90세이상","미상",1504
"여자","90 - 94세","계",19939
"여자","90 - 94세","불취학",9819
"여자","90 - 94세","초등학교",6480
"여자","90 - 94세","중고등학교",2173
"여자","90 - 94세","중학교",991
"여자","90 - 94세","고등학교",1182
"여자","90 - 94세","대학이상",446
"여자","90 - 94세","대학(교)",396
"여자","90 - 94세","대학원 이상",50
"여자","90 - 94세","미상",1021
"여자","95 - 99세","계",7716
"여자","95 - 99세","불취학",4595
"여자","95 - 99세","초등학교",1977
"여자","95 - 99세","중고등학교",586
"여자","95 - 99세","중학교",278
"여자","95 - 99세","고등학교",308
"여자","95 - 99세","대학이상",168
"여자","95 - 99세","대학(교)",144
"여자","95 - 99세","대학원 이상",24
"여자","95 - 99세","미상",390
"여자","100세이상","계",1427
"여자","100세이상","불취학",959
"여자","100세이상","초등학교",286
"여자","100세이상","중고등학교",64
"여자","100세이상","중학교",27
"여자","100세이상","고등학교",37
"여자","100세이상","대학이상",25
"여자","100세이상","대학(교)",21
"여자","100세이상","대학원 이상",4
"여자","100세이상","미상",93
"여자","연령미상","계",25
"여자","연령미상","불취학",8
"여자","연령미상","초등학교",4
"여자","연령미상","중고등학교",0
"여자","연령미상","중학교",0
"여자","연령미상","고등학교",0
"여자","연령미상","대학이상",0
"여자","연령미상","대학(교)",0
"여자","연령미상","대학원 이상",0
"여자","연령미상","미상",13
