"성별","연령(5세)별","직업별(신)",2017
"계","40 - 44세","전문가 및 관련 종사자",419
"계","40 - 44세","전문가",-
"계","40 - 44세","기술공 및 준전문가",-
"계","40 - 44세","사무 종사자",412
"계","40 - 44세","서비스 및 판매 종사자",582
"계","40 - 44세","농업,임업 및 어업 숙련종사자",87
"계","40 - 44세","기능원 및 관련기능종사자",193
"계","40 - 44세","장치,기계조작 및 조립종사자",169
"계","40 - 44세","단순노무 종사자",286
"계","40 - 44세","무직, 가사, 학생",1959
"계","40 - 44세","기타",341
"계","45 - 49세","계",8022
"계","45 - 49세","관리자",359
"계","45 - 49세","전문가 및 관련 종사자",605
"계","45 - 49세","전문가",-
"계","45 - 49세","기술공 및 준전문가",-
"계","45 - 49세","사무 종사자",536
"계","45 - 49세","서비스 및 판매 종사자",931
"계","45 - 49세","농업,임업 및 어업 숙련종사자",245
"계","45 - 49세","기능원 및 관련기능종사자",301
"계","45 - 49세","장치,기계조작 및 조립종사자",308
"계","45 - 49세","단순노무 종사자",711
"계","45 - 49세","무직, 가사, 학생",3450
"계","45 - 49세","기타",576
"계","50 - 54세","계",11260
"계","50 - 54세","관리자",492
"계","50 - 54세","전문가 및 관련 종사자",811
"계","50 - 54세","전문가",-
"계","50 - 54세","기술공 및 준전문가",-
"계","50 - 54세","사무 종사자",558
"계","50 - 54세","서비스 및 판매 종사자",1239
"계","50 - 54세","농업,임업 및 어업 숙련종사자",419
"계","50 - 54세","기능원 및 관련기능종사자",459
"계","50 - 54세","장치,기계조작 및 조립종사자",401
"계","50 - 54세","단순노무 종사자",1125
"계","50 - 54세","무직, 가사, 학생",4941
"계","50 - 54세","기타",815
"계","55 - 59세","계",16431
"계","55 - 59세","관리자",725
"계","55 - 59세","전문가 및 관련 종사자",977
"계","55 - 59세","전문가",-
"계","55 - 59세","기술공 및 준전문가",-
"계","55 - 59세","사무 종사자",634
"계","55 - 59세","서비스 및 판매 종사자",1730
"계","55 - 59세","농업,임업 및 어업 숙련종사자",849
"계","55 - 59세","기능원 및 관련기능종사자",589
"계","55 - 59세","장치,기계조작 및 조립종사자",529
"계","55 - 59세","단순노무 종사자",1559
"계","55 - 59세","무직, 가사, 학생",7660
"계","55 - 59세","기타",1179
"계","60 - 64세","계",17721
"계","60 - 64세","관리자",582
"계","60 - 64세","전문가 및 관련 종사자",770
"계","60 - 64세","전문가",-
"계","60 - 64세","기술공 및 준전문가",-
"계","60 - 64세","사무 종사자",382
"계","60 - 64세","서비스 및 판매 종사자",1544
"계","60 - 64세","농업,임업 및 어업 숙련종사자",1345
"계","60 - 64세","기능원 및 관련기능종사자",496
"계","60 - 64세","장치,기계조작 및 조립종사자",347
"계","60 - 64세","단순노무 종사자",1460
"계","60 - 64세","무직, 가사, 학생",9542
"계","60 - 64세","기타",1253
"계","65 - 69세","계",19942
"계","65 - 69세","관리자",504
"계","65 - 69세","전문가 및 관련 종사자",565
"계","65 - 69세","전문가",-
"계","65 - 69세","기술공 및 준전문가",-
"계","65 - 69세","사무 종사자",280
"계","65 - 69세","서비스 및 판매 종사자",1247
"계","65 - 69세","농업,임업 및 어업 숙련종사자",1932
"계","65 - 69세","기능원 및 관련기능종사자",323
"계","65 - 69세","장치,기계조작 및 조립종사자",207
"계","65 - 69세","단순노무 종사자",1143
"계","65 - 69세","무직, 가사, 학생",12466
"계","65 - 69세","기타",1275
"계","70 - 74세","계",26828
"계","70 - 74세","관리자",413
"계","70 - 74세","전문가 및 관련 종사자",432
"계","70 - 74세","전문가",-
"계","70 - 74세","기술공 및 준전문가",-
"계","70 - 74세","사무 종사자",220
"계","70 - 74세","서비스 및 판매 종사자",970
"계","70 - 74세","농업,임업 및 어업 숙련종사자",3136
"계","70 - 74세","기능원 및 관련기능종사자",192
"계","70 - 74세","장치,기계조작 및 조립종사자",130
"계","70 - 74세","단순노무 종사자",924
"계","70 - 74세","무직, 가사, 학생",18830
"계","70 - 74세","기타",1581
"계","75 - 79세","계",43132
"계","75 - 79세","관리자",378
"계","75 - 79세","전문가 및 관련 종사자",440
"계","75 - 79세","전문가",-
"계","75 - 79세","기술공 및 준전문가",-
"계","75 - 79세","사무 종사자",236
"계","75 - 79세","서비스 및 판매 종사자",704
"계","75 - 79세","농업,임업 및 어업 숙련종사자",5984
"계","75 - 79세","기능원 및 관련기능종사자",179
"계","75 - 79세","장치,기계조작 및 조립종사자",84
"계","75 - 79세","단순노무 종사자",790
"계","75 - 79세","무직, 가사, 학생",31652
"계","75 - 79세","기타",2685
"계","80세이상","계",127801
"계","80세이상","관리자",506
"계","80세이상","전문가 및 관련 종사자",740
"계","80세이상","전문가",-
"계","80세이상","기술공 및 준전문가",-
"계","80세이상","사무 종사자",324
"계","80세이상","서비스 및 판매 종사자",651
"계","80세이상","농업,임업 및 어업 숙련종사자",12737
"계","80세이상","기능원 및 관련기능종사자",175
"계","80세이상","장치,기계조작 및 조립종사자",75
"계","80세이상","단순노무 종사자",933
"계","80세이상","무직, 가사, 학생",103223
"계","80세이상","기타",8437
"계","80 - 84세","계",50618
"계","80 - 84세","관리자",257
"계","80 - 84세","전문가 및 관련 종사자",363
"계","80 - 84세","전문가",-
"계","80 - 84세","기술공 및 준전문가",-
"계","80 - 84세","사무 종사자",174
"계","80 - 84세","서비스 및 판매 종사자",408
"계","80 - 84세","농업,임업 및 어업 숙련종사자",6561
"계","80 - 84세","기능원 및 관련기능종사자",100
"계","80 - 84세","장치,기계조작 및 조립종사자",45
"계","80 - 84세","단순노무 종사자",491
"계","80 - 84세","무직, 가사, 학생",39015
"계","80 - 84세","기타",3204
"계","85 - 89세","계",42481
"계","85 - 89세","관리자",153
"계","85 - 89세","전문가 및 관련 종사자",217
"계","85 - 89세","전문가",-
"계","85 - 89세","기술공 및 준전문가",-
"계","85 - 89세","사무 종사자",94
"계","85 - 89세","서비스 및 판매 종사자",171
"계","85 - 89세","농업,임업 및 어업 숙련종사자",3991
"계","85 - 89세","기능원 및 관련기능종사자",51
"계","85 - 89세","장치,기계조작 및 조립종사자",17
"계","85 - 89세","단순노무 종사자",278
"계","85 - 89세","무직, 가사, 학생",34691
"계","85 - 89세","기타",2818
"계","90세이상","계",34702
"계","90세이상","관리자",96
"계","90세이상","전문가 및 관련 종사자",160
"계","90세이상","전문가",-
"계","90세이상","기술공 및 준전문가",-
"계","90세이상","사무 종사자",56
"계","90세이상","서비스 및 판매 종사자",72
"계","90세이상","농업,임업 및 어업 숙련종사자",2185
"계","90세이상","기능원 및 관련기능종사자",24
"계","90세이상","장치,기계조작 및 조립종사자",13
"계","90세이상","단순노무 종사자",164
"계","90세이상","무직, 가사, 학생",29517
"계","90세이상","기타",2415
"계","90 - 94세","계",24706
"계","90 - 94세","관리자",74
"계","90 - 94세","전문가 및 관련 종사자",133
"계","90 - 94세","전문가",-
"계","90 - 94세","기술공 및 준전문가",-
"계","90 - 94세","사무 종사자",43
"계","90 - 94세","서비스 및 판매 종사자",62
"계","90 - 94세","농업,임업 및 어업 숙련종사자",1685
"계","90 - 94세","기능원 및 관련기능종사자",19
"계","90 - 94세","장치,기계조작 및 조립종사자",8
"계","90 - 94세","단순노무 종사자",112
"계","90 - 94세","무직, 가사, 학생",20864
"계","90 - 94세","기타",1706
"계","95 - 99세","계",8329
"계","95 - 99세","관리자",17
"계","95 - 99세","전문가 및 관련 종사자",25
"계","95 - 99세","전문가",-
"계","95 - 99세","기술공 및 준전문가",-
"계","95 - 99세","사무 종사자",9
"계","95 - 99세","서비스 및 판매 종사자",9
"계","95 - 99세","농업,임업 및 어업 숙련종사자",438
"계","95 - 99세","기능원 및 관련기능종사자",4
"계","95 - 99세","장치,기계조작 및 조립종사자",4
"계","95 - 99세","단순노무 종사자",47
"계","95 - 99세","무직, 가사, 학생",7177
"계","95 - 99세","기타",599
"계","100세이상","계",1667
"계","100세이상","관리자",5
"계","100세이상","전문가 및 관련 종사자",2
"계","100세이상","전문가",-
"계","100세이상","기술공 및 준전문가",-
"계","100세이상","사무 종사자",4
"계","100세이상","서비스 및 판매 종사자",1
"계","100세이상","농업,임업 및 어업 숙련종사자",62
"계","100세이상","기능원 및 관련기능종사자",1
"계","100세이상","장치,기계조작 및 조립종사자",1
"계","100세이상","단순노무 종사자",5
"계","100세이상","무직, 가사, 학생",1476
"계","100세이상","기타",110
"계","연령미상","계",41
"계","연령미상","관리자",0
"계","연령미상","전문가 및 관련 종사자",0
"계","연령미상","전문가",-
"계","연령미상","기술공 및 준전문가",-
"계","연령미상","사무 종사자",0
"계","연령미상","서비스 및 판매 종사자",0
"계","연령미상","농업,임업 및 어업 숙련종사자",0
"계","연령미상","기능원 및 관련기능종사자",0
"계","연령미상","장치,기계조작 및 조립종사자",0
"계","연령미상","단순노무 종사자",0
"계","연령미상","무직, 가사, 학생",22
"계","연령미상","기타",19
"남자","계","계",154328
"남자","계","관리자",4054
"남자","계","전문가 및 관련 종사자",5237
"남자","계","전문가",-
"남자","계","기술공 및 준전문가",-
"남자","계","사무 종사자",3531
"남자","계","서비스 및 판매 종사자",8050
"남자","계","농업,임업 및 어업 숙련종사자",19390
"남자","계","기능원 및 관련기능종사자",2952
"남자","계","장치,기계조작 및 조립종사자",2419
"남자","계","단순노무 종사자",7856
"남자","계","무직, 가사, 학생",90553
"남자","계","기타",10286
"남자","14세이하","계",957
"남자","14세이하","관리자",0
"남자","14세이하","전문가 및 관련 종사자",0
"남자","14세이하","전문가",-
"남자","14세이하","기술공 및 준전문가",-
"남자","14세이하","사무 종사자",0
"남자","14세이하","서비스 및 판매 종사자",0
"남자","14세이하","농업,임업 및 어업 숙련종사자",0
"남자","14세이하","기능원 및 관련기능종사자",0
"남자","14세이하","장치,기계조작 및 조립종사자",0
"남자","14세이하","단순노무 종사자",0
"남자","14세이하","무직, 가사, 학생",906
"남자","14세이하","기타",51
"남자","15 - 19세","계",424
"남자","15 - 19세","관리자",0
"남자","15 - 19세","전문가 및 관련 종사자",1
"남자","15 - 19세","전문가",-
"남자","15 - 19세","기술공 및 준전문가",-
"남자","15 - 19세","사무 종사자",1
"남자","15 - 19세","서비스 및 판매 종사자",12
"남자","15 - 19세","농업,임업 및 어업 숙련종사자",0
"남자","15 - 19세","기능원 및 관련기능종사자",1
"남자","15 - 19세","장치,기계조작 및 조립종사자",5
"남자","15 - 19세","단순노무 종사자",7
"남자","15 - 19세","무직, 가사, 학생",364
"남자","15 - 19세","기타",33
"남자","20 - 24세","계",750
"남자","20 - 24세","관리자",7
"남자","20 - 24세","전문가 및 관련 종사자",15
"남자","20 - 24세","전문가",-
"남자","20 - 24세","기술공 및 준전문가",-
"남자","20 - 24세","사무 종사자",20
"남자","20 - 24세","서비스 및 판매 종사자",48
"남자","20 - 24세","농업,임업 및 어업 숙련종사자",2
"남자","20 - 24세","기능원 및 관련기능종사자",18
"남자","20 - 24세","장치,기계조작 및 조립종사자",16
"남자","20 - 24세","단순노무 종사자",30
"남자","20 - 24세","무직, 가사, 학생",469
"남자","20 - 24세","기타",125
"남자","25 - 29세","계",953
"남자","25 - 29세","관리자",28
"남자","25 - 29세","전문가 및 관련 종사자",75
"남자","25 - 29세","전문가",-
"남자","25 - 29세","기술공 및 준전문가",-
"남자","25 - 29세","사무 종사자",89
"남자","25 - 29세","서비스 및 판매 종사자",115
"남자","25 - 29세","농업,임업 및 어업 숙련종사자",9
"남자","25 - 29세","기능원 및 관련기능종사자",38
"남자","25 - 29세","장치,기계조작 및 조립종사자",44
"남자","25 - 29세","단순노무 종사자",55
"남자","25 - 29세","무직, 가사, 학생",409
"남자","25 - 29세","기타",91
"남자","30 - 34세","계",1153
"남자","30 - 34세","관리자",40
"남자","30 - 34세","전문가 및 관련 종사자",114
"남자","30 - 34세","전문가",-
"남자","30 - 34세","기술공 및 준전문가",-
"남자","30 - 34세","사무 종사자",137
"남자","30 - 34세","서비스 및 판매 종사자",182
"남자","30 - 34세","농업,임업 및 어업 숙련종사자",14
"남자","30 - 34세","기능원 및 관련기능종사자",57
"남자","30 - 34세","장치,기계조작 및 조립종사자",57
"남자","30 - 34세","단순노무 종사자",70
"남자","30 - 34세","무직, 가사, 학생",385
"남자","30 - 34세","기타",97
"남자","35 - 39세","계",1983
"남자","35 - 39세","관리자",118
"남자","35 - 39세","전문가 및 관련 종사자",194
"남자","35 - 39세","전문가",-
"남자","35 - 39세","기술공 및 준전문가",-
"남자","35 - 39세","사무 종사자",228
"남자","35 - 39세","서비스 및 판매 종사자",318
"남자","35 - 39세","농업,임업 및 어업 숙련종사자",23
"남자","35 - 39세","기능원 및 관련기능종사자",90
"남자","35 - 39세","장치,기계조작 및 조립종사자",118
"남자","35 - 39세","단순노무 종사자",153
"남자","35 - 39세","무직, 가사, 학생",607
"남자","35 - 39세","기타",134
"남자","40 - 44세","계",3089
"남자","40 - 44세","관리자",201
"남자","40 - 44세","전문가 및 관련 종사자",289
"남자","40 - 44세","전문가",-
"남자","40 - 44세","기술공 및 준전문가",-
"남자","40 - 44세","사무 종사자",302
"남자","40 - 44세","서비스 및 판매 종사자",432
"남자","40 - 44세","농업,임업 및 어업 숙련종사자",76
"남자","40 - 44세","기능원 및 관련기능종사자",185
"남자","40 - 44세","장치,기계조작 및 조립종사자",163
"남자","40 - 44세","단순노무 종사자",246
"남자","40 - 44세","무직, 가사, 학생",972
"남자","40 - 44세","기타",223
"남자","45 - 49세","계",5647
"남자","45 - 49세","관리자",316
"남자","45 - 49세","전문가 및 관련 종사자",454
"남자","45 - 49세","전문가",-
"남자","45 - 49세","기술공 및 준전문가",-
"남자","45 - 49세","사무 종사자",394
"남자","45 - 49세","서비스 및 판매 종사자",662
"남자","45 - 49세","농업,임업 및 어업 숙련종사자",214
"남자","45 - 49세","기능원 및 관련기능종사자",292
"남자","45 - 49세","장치,기계조작 및 조립종사자",297
"남자","45 - 49세","단순노무 종사자",638
"남자","45 - 49세","무직, 가사, 학생",1954
"남자","45 - 49세","기타",426
"남자","50 - 54세","계",8296
"남자","50 - 54세","관리자",448
"남자","50 - 54세","전문가 및 관련 종사자",647
"남자","50 - 54세","전문가",-
"남자","50 - 54세","기술공 및 준전문가",-
"남자","50 - 54세","사무 종사자",462
"남자","50 - 54세","서비스 및 판매 종사자",876
"남자","50 - 54세","농업,임업 및 어업 숙련종사자",365
"남자","50 - 54세","기능원 및 관련기능종사자",436
"남자","50 - 54세","장치,기계조작 및 조립종사자",381
"남자","50 - 54세","단순노무 종사자",1018
"남자","50 - 54세","무직, 가사, 학생",3036
"남자","50 - 54세","기타",627
"남자","55 - 59세","계",12359
"남자","55 - 59세","관리자",676
"남자","55 - 59세","전문가 및 관련 종사자",860
"남자","55 - 59세","전문가",-
"남자","55 - 59세","기술공 및 준전문가",-
"남자","55 - 59세","사무 종사자",564
"남자","55 - 59세","서비스 및 판매 종사자",1289
"남자","55 - 59세","농업,임업 및 어업 숙련종사자",758
"남자","55 - 59세","기능원 및 관련기능종사자",556
"남자","55 - 59세","장치,기계조작 및 조립종사자",523
"남자","55 - 59세","단순노무 종사자",1391
"남자","55 - 59세","무직, 가사, 학생",4784
"남자","55 - 59세","기타",958
"남자","60 - 64세","계",13059
"남자","60 - 64세","관리자",553
"남자","60 - 64세","전문가 및 관련 종사자",689
"남자","60 - 64세","전문가",-
"남자","60 - 64세","기술공 및 준전문가",-
"남자","60 - 64세","사무 종사자",358
"남자","60 - 64세","서비스 및 판매 종사자",1224
"남자","60 - 64세","농업,임업 및 어업 숙련종사자",1157
"남자","60 - 64세","기능원 및 관련기능종사자",474
"남자","60 - 64세","장치,기계조작 및 조립종사자",343
"남자","60 - 64세","단순노무 종사자",1309
"남자","60 - 64세","무직, 가사, 학생",5992
"남자","60 - 64세","기타",960
"남자","65 - 69세","계",14172
"남자","65 - 69세","관리자",481
"남자","65 - 69세","전문가 및 관련 종사자",518
"남자","65 - 69세","전문가",-
"남자","65 - 69세","기술공 및 준전문가",-
"남자","65 - 69세","사무 종사자",269
"남자","65 - 69세","서비스 및 판매 종사자",1036
"남자","65 - 69세","농업,임업 및 어업 숙련종사자",1615
"남자","65 - 69세","기능원 및 관련기능종사자",311
"남자","65 - 69세","장치,기계조작 및 조립종사자",204
"남자","65 - 69세","단순노무 종사자",993
"남자","65 - 69세","무직, 가사, 학생",7824
"남자","65 - 69세","기타",921
"남자","70 - 74세","계",17571
"남자","70 - 74세","관리자",393
"남자","70 - 74세","전문가 및 관련 종사자",385
"남자","70 - 74세","전문가",-
"남자","70 - 74세","기술공 및 준전문가",-
"남자","70 - 74세","사무 종사자",210
"남자","70 - 74세","서비스 및 판매 종사자",810
"남자","70 - 74세","농업,임업 및 어업 숙련종사자",2404
"남자","70 - 74세","기능원 및 관련기능종사자",183
"남자","70 - 74세","장치,기계조작 및 조립종사자",127
"남자","70 - 74세","단순노무 종사자",784
"남자","70 - 74세","무직, 가사, 학생",11230
"남자","70 - 74세","기타",1045
"남자","75 - 79세","계",25446
"남자","75 - 79세","관리자",355
"남자","75 - 79세","전문가 및 관련 종사자",403
"남자","75 - 79세","전문가",-
"남자","75 - 79세","기술공 및 준전문가",-
"남자","75 - 79세","사무 종사자",219
"남자","75 - 79세","서비스 및 판매 종사자",585
"남자","75 - 79세","농업,임업 및 어업 숙련종사자",4522
"남자","75 - 79세","기능원 및 관련기능종사자",168
"남자","75 - 79세","장치,기계조작 및 조립종사자",81
"남자","75 - 79세","단순노무 종사자",629
"남자","75 - 79세","무직, 가사, 학생",16921
"남자","75 - 79세","기타",1563
"남자","80세이상","계",48453
"남자","80세이상","관리자",438
"남자","80세이상","전문가 및 관련 종사자",593
"남자","80세이상","전문가",-
"남자","80세이상","기술공 및 준전문가",-
"남자","80세이상","사무 종사자",278
"남자","80세이상","서비스 및 판매 종사자",461
"남자","80세이상","농업,임업 및 어업 숙련종사자",8231
"남자","80세이상","기능원 및 관련기능종사자",143
"남자","80세이상","장치,기계조작 및 조립종사자",60
"남자","80세이상","단순노무 종사자",533
"남자","80세이상","무직, 가사, 학생",34698
"남자","80세이상","기타",3018
"남자","80 - 84세","계",24679
"남자","80 - 84세","관리자",238
"남자","80 - 84세","전문가 및 관련 종사자",304
"남자","80 - 84세","전문가",-
"남자","80 - 84세","기술공 및 준전문가",-
"남자","80 - 84세","사무 종사자",161
"남자","80 - 84세","서비스 및 판매 종사자",306
"남자","80 - 84세","농업,임업 및 어업 숙련종사자",4660
"남자","80 - 84세","기능원 및 관련기능종사자",87
"남자","80 - 84세","장치,기계조작 및 조립종사자",41
"남자","80 - 84세","단순노무 종사자",342
"남자","80 - 84세","무직, 가사, 학생",17060
"남자","80 - 84세","기타",1480
"남자","85 - 89세","계",15111
"남자","85 - 89세","관리자",124
"남자","85 - 89세","전문가 및 관련 종사자",171
"남자","85 - 89세","전문가",-
"남자","85 - 89세","기술공 및 준전문가",-
"남자","85 - 89세","사무 종사자",77
"남자","85 - 89세","서비스 및 판매 종사자",116
"남자","85 - 89세","농업,임업 및 어업 숙련종사자",2474
"남자","85 - 89세","기능원 및 관련기능종사자",40
"남자","85 - 89세","장치,기계조작 및 조립종사자",12
"남자","85 - 89세","단순노무 종사자",127
"남자","85 - 89세","무직, 가사, 학생",11009
"남자","85 - 89세","기타",961
"남자","90세이상","계",8663
"남자","90세이상","관리자",76
"남자","90세이상","전문가 및 관련 종사자",118
"남자","90세이상","전문가",-
"남자","90세이상","기술공 및 준전문가",-
"남자","90세이상","사무 종사자",40
"남자","90세이상","서비스 및 판매 종사자",39
"남자","90세이상","농업,임업 및 어업 숙련종사자",1097
"남자","90세이상","기능원 및 관련기능종사자",16
"남자","90세이상","장치,기계조작 및 조립종사자",7
"남자","90세이상","단순노무 종사자",64
"남자","90세이상","무직, 가사, 학생",6629
"남자","90세이상","기타",577
"남자","90 - 94세","계",6634
"남자","90 - 94세","관리자",58
"남자","90 - 94세","전문가 및 관련 종사자",101
"남자","90 - 94세","전문가",-
"남자","90 - 94세","기술공 및 준전문가",-
"남자","90 - 94세","사무 종사자",32
"남자","90 - 94세","서비스 및 판매 종사자",33
"남자","90 - 94세","농업,임업 및 어업 숙련종사자",896
"남자","90 - 94세","기능원 및 관련기능종사자",12
"남자","90 - 94세","장치,기계조작 및 조립종사자",5
"남자","90 - 94세","단순노무 종사자",48
"남자","90 - 94세","무직, 가사, 학생",5010
"남자","90 - 94세","기타",439
"남자","95 - 99세","계",1777
"남자","95 - 99세","관리자",14
"남자","95 - 99세","전문가 및 관련 종사자",17
"남자","95 - 99세","전문가",-
"남자","95 - 99세","기술공 및 준전문가",-
"남자","95 - 99세","사무 종사자",7
"남자","95 - 99세","서비스 및 판매 종사자",5
"남자","95 - 99세","농업,임업 및 어업 숙련종사자",184
"남자","95 - 99세","기능원 및 관련기능종사자",3
"남자","95 - 99세","장치,기계조작 및 조립종사자",1
"남자","95 - 99세","단순노무 종사자",16
"남자","95 - 99세","무직, 가사, 학생",1412
"남자","95 - 99세","기타",118
"남자","100세이상","계",252
"남자","100세이상","관리자",4
"남자","100세이상","전문가 및 관련 종사자",0
"남자","100세이상","전문가",-
"남자","100세이상","기술공 및 준전문가",-
"남자","100세이상","사무 종사자",1
"남자","100세이상","서비스 및 판매 종사자",1
"남자","100세이상","농업,임업 및 어업 숙련종사자",17
"남자","100세이상","기능원 및 관련기능종사자",1
"남자","100세이상","장치,기계조작 및 조립종사자",1
"남자","100세이상","단순노무 종사자",0
"남자","100세이상","무직, 가사, 학생",207
"남자","100세이상","기타",20
"남자","연령미상","계",16
"남자","연령미상","관리자",0
"남자","연령미상","전문가 및 관련 종사자",0
"남자","연령미상","전문가",-
"남자","연령미상","기술공 및 준전문가",-
"남자","연령미상","사무 종사자",0
"남자","연령미상","서비스 및 판매 종사자",0
"남자","연령미상","농업,임업 및 어업 숙련종사자",0
"남자","연령미상","기능원 및 관련기능종사자",0
"남자","연령미상","장치,기계조작 및 조립종사자",0
"남자","연령미상","단순노무 종사자",0
"남자","연령미상","무직, 가사, 학생",2
"남자","연령미상","기타",14
"여자","계","계",131206
"여자","계","관리자",352
"여자","계","전문가 및 관련 종사자",1120
"여자","계","전문가",-
"여자","계","기술공 및 준전문가",-
"여자","계","사무 종사자",815
"여자","계","서비스 및 판매 종사자",2538
"여자","계","농업,임업 및 어업 숙련종사자",7399
"여자","계","기능원 및 관련기능종사자",181
"여자","계","장치,기계조작 및 조립종사자",80
"여자","계","단순노무 종사자",1440
"여자","계","무직, 가사, 학생",108642
"여자","계","기타",8639
"여자","14세이하","계",711
"여자","14세이하","관리자",0
"여자","14세이하","전문가 및 관련 종사자",0
"여자","14세이하","전문가",-
"여자","14세이하","기술공 및 준전문가",-
"여자","14세이하","사무 종사자",0
"여자","14세이하","서비스 및 판매 종사자",0
"여자","14세이하","농업,임업 및 어업 숙련종사자",0
"여자","14세이하","기능원 및 관련기능종사자",0
"여자","14세이하","장치,기계조작 및 조립종사자",0
"여자","14세이하","단순노무 종사자",0
"여자","14세이하","무직, 가사, 학생",669
"여자","14세이하","기타",42
"여자","15 - 19세","계",202
"여자","15 - 19세","관리자",0
"여자","15 - 19세","전문가 및 관련 종사자",0
"여자","15 - 19세","전문가",-
"여자","15 - 19세","기술공 및 준전문가",-
"여자","15 - 19세","사무 종사자",5
"여자","15 - 19세","서비스 및 판매 종사자",2
"여자","15 - 19세","농업,임업 및 어업 숙련종사자",0
"여자","15 - 19세","기능원 및 관련기능종사자",0
"여자","15 - 19세","장치,기계조작 및 조립종사자",0
"여자","15 - 19세","단순노무 종사자",0
"여자","15 - 19세","무직, 가사, 학생",180
"여자","15 - 19세","기타",15
"여자","20 - 24세","계",337
"여자","20 - 24세","관리자",1
"여자","20 - 24세","전문가 및 관련 종사자",10
"여자","20 - 24세","전문가",-
"여자","20 - 24세","기술공 및 준전문가",-
"여자","20 - 24세","사무 종사자",16
"여자","20 - 24세","서비스 및 판매 종사자",31
"여자","20 - 24세","농업,임업 및 어업 숙련종사자",1
